Code,Birth,Ave_Pop
10101,2.2415196888621036,62119.27272727273
10102,1.9776926038485123,39839.63636363636
10103,2.041483672032809,18558.18181818182
10104,2.124076616092643,58807.36363636364
10201,2.0525029047229597,148951.36363636365
10202,2.2451250705660235,118898.09090909091
10301,2.0404601679919665,38763.545454545456
10302,2.491068868696629,59549.90909090909
10303,2.234433604126978,43442.818181818184
10304,2.2797100522788782,50247.454545454544
10401,2.2852253476958944,45660.09090909091
10402,2.099719524520724,70609.36363636363
10501,2.5753407365514995,31464.363636363636
10502,2.1382054304444034,25883.363636363636
10503,2.411119752911635,67237.90909090909
10601,2.1987997613245045,73981.09090909091
10602,2.1758687971071407,48041.818181818184
10603,2.199481173090273,53638.545454545456
10604,2.285329331763059,28907.272727272728
10701,2.0485757200175336,70232.54545454546
10703,2.1583737404982974,72048.0
10704,1.7762346134076847,113036.72727272728
10801,2.106793354265182,25534.454545454544
10802,2.3188207711911355,44057.72727272727
10804,2.099813932326751,57204.09090909091
10805,2.2428691804569336,48236.27272727273
10901,2.0712922406919754,53941.36363636364
10902,2.370960839730461,14500.272727272728
10903,2.3511009818873485,41484.09090909091
11001,1.9289971172072933,37776.36363636364
11002,2.2683092830052374,38711.545454545456
11003,2.409767631077279,29898.363636363636
11004,2.2032905406840433,74937.72727272728
11101,1.9383958313591392,112464.54545454546
11102,2.1674205255441668,62760.181818181816
11103,1.6526129217373653,144871.63636363635
11201,1.8846858725054276,64940.454545454544
11202,2.14973008247673,69331.0
11203,2.075781367166364,64569.545454545456
11301,2.4382369043226353,47390.09090909091
11302,2.2435321475564054,15222.818181818182
11303,2.2264747378347702,87187.63636363637
11401,2.265386890439909,78879.09090909091
11402,2.283643062303644,38042.454545454544
11501,1.7748511469109176,105388.18181818182
11502,1.8075713763025851,23311.18181818182
11503,2.1146307466031016,21325.272727272728
11504,2.113065757780482,13380.727272727272
11601,1.9535115093259363,116398.27272727272
11602,2.174859009122931,33455.818181818184
11603,2.419884723330068,90697.36363636363
11701,1.6773532305955543,36082.181818181816
11702,1.127360071639169,53465.818181818184
11703,0.6300543033278134,111444.18181818182
11801,0.9493248626049497,120588.27272727272
11802,1.1335113594560633,121495.63636363637
11901,1.974966168808409,142692.36363636365
11902,1.950659101913442,123118.0
11903,1.6696802024508848,103664.36363636363
11904,1.6432329512887605,111613.27272727272
12001,1.3588040705666096,56555.454545454544
12002,0.9155901562284986,47572.90909090909
12003,1.3514357882211572,126815.45454545454
12101,1.4682541549636963,87839.27272727272
12102,1.8696478435742525,68081.0
12103,1.8729636352064112,105989.18181818182
12104,0.7868213969293777,82088.18181818182
12201,1.43567935695763,37295.90909090909
12202,1.8940530065218715,54482.90909090909
12203,1.7076515747967642,130865.90909090909
12301,2.206798054002579,27772.272727272728
12302,2.094893965624435,147891.54545454544
12303,2.186937590395514,29802.18181818182
12401,1.9986736522679707,74303.18181818182
12403,2.0099697471860756,112411.63636363637
12404,2.070646189238036,33608.0
12405,2.0942216265519935,53259.90909090909
12501,1.9738972478824595,53841.454545454544
12502,1.8321693642041736,55630.181818181816
12503,1.9955690223705305,121554.18181818182
12504,1.578484509950449,101873.81818181818
12601,1.6336924779347337,40660.545454545456
12602,1.49131755182578,112031.18181818182
12701,2.169586163450191,53696.36363636364
12702,1.878091188558479,174336.36363636365
12703,2.024742766514184,76237.72727272728
12801,1.5660642084042462,98600.90909090909
12802,1.8848301905179583,103873.27272727272
20101,1.9279147381484747,81089.18181818182
20102,2.0670721248922224,25377.636363636364
20103,2.076492730434357,24039.272727272728
20201,1.9333135288831171,72160.09090909091
20202,2.0511601673891406,38852.27272727273
20203,2.311140542856678,12557.818181818182
20301,2.210291340647638,11627.454545454546
20302,1.8344763871952798,155299.0909090909
20303,1.9689740807442435,45998.545454545456
20401,2.0309166391363265,44993.0
20402,2.0588695723703125,43457.818181818184
20403,2.095472539424335,59728.0
20501,2.085133623972812,34663.27272727273
20502,2.057151032141691,38781.90909090909
20503,2.081045805354634,47956.818181818184
20504,1.9885883247219072,71471.45454545454
20505,2.147867820881031,41604.09090909091
20601,1.1517921028906895,73321.09090909091
20602,1.1524078947663987,46044.818181818184
20603,1.4289015554663063,56279.36363636364
20604,0.6718719157967926,45310.818181818184
20605,0.6618443131361442,75039.54545454546
20606,0.6834947496038509,49975.454545454544
20607,0.7224788558697173,66937.45454545454
20701,1.4551663976117648,152577.36363636365
20702,1.4697746776431615,87175.81818181818
20703,1.6474768501862604,87757.36363636363
20801,1.8448848234165611,86110.45454545454
20802,1.4962090080201493,125425.0
20803,1.6060051151492298,93607.27272727272
20804,1.4826153168499903,37618.72727272727
20901,1.6565048929904715,117849.18181818182
20902,1.5423491468991406,80685.81818181818
20903,2.0200238451930566,60370.90909090909
20904,1.8469673283609307,112769.54545454546
21001,1.4956423837086126,57226.0
21002,2.187585929632342,20822.363636363636
