,SA3 Name
2444,Migratory - Offshore - Shipping (ACT)
2445,Special Purpose Codes SA3 (ACT)
2447,Cocos (Keeling) Islands
2448,Jervis Bay
2449,Migratory - Offshore - Shipping (OT)
2450,Special Purpose Codes SA3 (OT)
2471,Illawarra Catchment Reserve
2476,Lord Howe Island
2527,Blue Mountains - South
2542,Migratory - Offshore - Shipping (NSW)
2543,Special Purpose Codes SA3 (NSW)
2609,Migratory - Offshore - Shipping (Vic.)
2610,Special Purpose Codes SA3 (Vic.)
2691,Migratory - Offshore - Shipping (Qld)
2692,Special Purpose Codes SA3 (Qld)
2721,Migratory - Offshore - Shipping (SA)
2722,Special Purpose Codes SA3 (SA)
2756,Migratory - Offshore - Shipping (WA)
2757,Special Purpose Codes SA3 (WA)
2773,Migratory - Offshore - Shipping (Tas.)
2774,Special Purpose Codes SA3 (Tas.)
2784,Migratory - Offshore - Shipping (NT)
2785,Special Purpose Codes SA3 (NT)
2787,Cotter - Namadgi
2795,Migratory - Offshore - Shipping (ACT)
2796,Special Purpose Codes SA3 (ACT)
2798,Cocos (Keeling) Islands
2799,Jervis Bay
2800,Migratory - Offshore - Shipping (OT)
2801,Special Purpose Codes SA3 (OT)
2822,Illawarra Catchment Reserve
2827,Lord Howe Island
2878,Blue Mountains - South
2893,Migratory - Offshore - Shipping (NSW)
2894,Special Purpose Codes SA3 (NSW)
2960,Migratory - Offshore - Shipping (Vic.)
2961,Special Purpose Codes SA3 (Vic.)
3042,Migratory - Offshore - Shipping (Qld)
3043,Special Purpose Codes SA3 (Qld)
3072,Migratory - Offshore - Shipping (SA)
3073,Special Purpose Codes SA3 (SA)
3107,Migratory - Offshore - Shipping (WA)
3108,Special Purpose Codes SA3 (WA)
3124,Migratory - Offshore - Shipping (Tas.)
3125,Special Purpose Codes SA3 (Tas.)
3135,Migratory - Offshore - Shipping (NT)
3136,Special Purpose Codes SA3 (NT)
3138,Cotter - Namadgi
3146,Migratory - Offshore - Shipping (ACT)
3147,Special Purpose Codes SA3 (ACT)
3149,Cocos (Keeling) Islands
3150,Jervis Bay
3151,Migratory - Offshore - Shipping (OT)
3152,Special Purpose Codes SA3 (OT)
3173,Illawarra Catchment Reserve
3178,Lord Howe Island
3229,Blue Mountains - South
3244,Migratory - Offshore - Shipping (NSW)
3245,Special Purpose Codes SA3 (NSW)
3311,Migratory - Offshore - Shipping (Vic.)
3312,Special Purpose Codes SA3 (Vic.)
3393,Migratory - Offshore - Shipping (Qld)
3394,Special Purpose Codes SA3 (Qld)
3423,Migratory - Offshore - Shipping (SA)
3424,Special Purpose Codes SA3 (SA)
3458,Migratory - Offshore - Shipping (WA)
3459,Special Purpose Codes SA3 (WA)
3475,Migratory - Offshore - Shipping (Tas.)
3476,Special Purpose Codes SA3 (Tas.)
3486,Migratory - Offshore - Shipping (NT)
3487,Special Purpose Codes SA3 (NT)
3489,Cotter - Namadgi
3497,Migratory - Offshore - Shipping (ACT)
3498,Special Purpose Codes SA3 (ACT)
3500,Cocos (Keeling) Islands
3501,Jervis Bay
3502,Migratory - Offshore - Shipping (OT)
3503,Special Purpose Codes SA3 (OT)
3524,Illawarra Catchment Reserve
3529,Lord Howe Island
3580,Blue Mountains - South
3595,Migratory - Offshore - Shipping (NSW)
3596,Special Purpose Codes SA3 (NSW)
3662,Migratory - Offshore - Shipping (Vic.)
3663,Special Purpose Codes SA3 (Vic.)
