"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"853","F",50705,22003,23427,25524,27330,29476,30880,32551,33830,35028,36191,37309,38074,38996,40112,41418,43402,46067,48172,50226,52405,54575
"854","M",50705,22198,23554,25597,27320,29396,30701,32299,33561,34728,35846,36876,37728,38722,40056,41518,43631,46168,48334,50413,52517,54840
"856","F",50801,5933,6082,6252,6416,6616,6756,6880,6981,7098,7185,7234,7302,7401,7443,7488,7524,7598,7703,7784,7880,7995
"857","M",50801,6591,6678,6811,6913,7059,7146,7271,7413,7554,7634,7671,7714,7788,7860,7979,8186,8140,8128,8116,8085,8074
"859","F",50802,4827,4728,4643,4616,4607,4574,4616,4697,4745,4815,4865,4815,4777,4616,4522,4437,4423,4465,4497,4556,4696
"860","M",50802,5462,5329,5210,5176,5167,5106,5152,5228,5305,5390,5483,5432,5345,5216,5112,5032,4924,4915,4937,4951,4978
"862","F",50803,18042,18049,17990,18339,18778,19086,19479,19576,19384,18971,18502,18408,18538,18210,18074,18130,18366,18936,19435,19760,20196
"863","M",50803,22092,22240,22306,22892,23515,24003,23787,23201,22650,22279,21941,21709,21661,21413,21164,21075,21303,21809,22301,22745,23160
"865","F",50804,10826,10871,11022,11515,11985,12361,12807,13407,14056,14665,15216,15510,15564,15779,15982,16232,16414,16722,16975,17168,17427
"866","M",50804,12549,12448,12479,12924,13287,13558,14154,15024,16004,16807,17540,17720,17462,17551,17655,17830,18090,18535,18828,19059,19364
"868","F",50805,22412,22692,22829,22957,23215,23418,23744,24014,24229,24281,24382,24505,24482,24515,24583,24730,24904,25585,26222,26579,27067
"869","M",50805,25177,25458,25681,25796,26102,26471,26645,26667,26295,25966,26298,26187,26125,26015,26312,26713,26634,27194,27705,27894,28244
"871","F",50806,21016,20636,19709,19096,18557,18313,18529,18638,18462,18163,17887,18582,19389,20027,20706,21684,21723,22236,22900,23436,24122
"872","M",50806,25534,25097,24052,23342,22748,22501,22696,22781,22497,22077,21731,22653,23802,25065,26299,27729,29442,31434,33678,35476,37655
"874","F",50901,23985,24132,24323,24407,24683,25011,25442,25772,26073,26274,26539,26657,26751,26694,26902,27102,27303,27726,28213,28546,28914
"875","M",50901,24830,24926,25062,25069,25288,25548,25984,26333,26707,26963,27250,27405,27558,27675,27922,28187,27968,28022,28198,28165,28323
"877","F",50902,24300,24246,24349,24425,24565,24695,24971,25238,25408,25563,25645,25646,25549,25306,25341,25279,25386,25769,26230,26515,26817
"878","M",50902,26804,26778,26900,26914,27113,27235,27529,27668,27857,28067,28138,28021,27997,27757,27709,27646,27321,27395,27694,27817,28029
"880","F",50903,11034,10954,10932,10810,10623,10567,10473,10430,10316,10235,10176,10155,10108,9949,9982,9962,9932,9975,10062,10131,10267
"881","M",50903,12169,12107,12070,11896,11715,11623,11509,11361,11201,11058,10941,10893,10914,10781,10775,10751,10708,10796,10913,11077,11064
"883","F",60101,6231,6435,6461,6633,6758,6797,6723,6709,6744,6789,6778,6835,6926,7173,7385,7528,7667,7836,8014,8197,8252
"884","M",60101,6035,6201,6209,6372,6452,6470,6402,6414,6481,6551,6614,6658,6771,6947,7132,7282,7424,7583,7760,7938,8000
"886","F",60102,24346,24382,24468,24414,24397,24402,24333,24247,24211,24205,24186,24139,24184,24341,24522,24755,24802,24952,25184,25400,25530
"887","M",60102,23319,23332,23441,23393,23393,23405,23361,23227,23177,23180,23213,23129,23226,23323,23393,23476,23683,23977,24363,24754,25056
"889","F",60103,26623,26846,26901,27070,27219,27234,27207,27061,26919,26848,25826,25765,26163,26334,26005,26171,26208,26320,26459,26542,26505
"890","M",60103,24020,24251,24272,24243,24111,24101,23945,23781,23639,23523,24422,24330,24358,24322,24302,24265,24572,24869,25177,25399,25584
"892","F",60104,12156,12445,12783,13072,13398,13546,13701,13791,13898,14063,13730,13841,14124,14395,14662,14868,15087,15400,15690,15969,16224
"893","M",60104,11093,11405,11678,11925,12040,12174,12220,12241,12277,12372,12948,13018,13246,13412,13621,13767,14053,14429,14819,15223,15513
"895","F",60105,23253,23448,23507,23296,22981,22912,22595,22511,22505,22564,24362,24450,24687,24913,25144,25179,25207,25278,25366,25437,25403
"896","M",60105,24562,24364,24339,24213,24311,24080,24210,24308,24465,24582,22933,23055,23379,23665,23856,23874,24090,24307,24683,24971,25188
"898","F",60106,4906,5113,5348,5574,5797,5963,6060,6082,6126,6117,6202,6250,6357,6473,6644,6807,6921,7093,7269,7399,7454
"899","M",60106,5104,5283,5499,5694,5901,6040,6135,6161,6176,6172,6189,6256,6367,6473,6622,6781,6935,7122,7301,7440,7564
"901","F",60201,37942,38274,38462,38716,38881,39025,39039,38912,39060,39176,39555,39673,40017,40384,40654,40823,41149,41409,41697,41940,42180
"902","M",60201,36139,36391,36533,36728,36842,36894,36896,36767,36846,36904,36785,36976,37435,37872,38136,38363,38839,39395,39912,40352,40562
"904","F",60202,10276,10413,10447,10539,10660,10722,10783,10805,10814,10860,10778,10828,10884,11086,11138,11212,11256,11308,11373,11417,11437
"905","M",60202,10259,10408,10451,10534,10655,10731,10704,10689,10690,10657,10817,10816,10899,11125,11220,11306,11365,11396,11398,11409,11443
"907","F",60203,17830,17986,18074,18100,18123,18177,18150,18113,18020,17954,17934,18001,18113,18251,18343,18401,18389,18449,18553,18599,18540
"908","M",60203,18435,18580,18685,18748,18768,18864,18789,18728,18647,18593,18592,18648,18888,18954,19104,19179,19174,19237,19335,19391,19469
"910","F",60301,5673,5504,5495,5466,5466,5492,5482,5464,5496,5503,5257,5256,5313,5254,5324,5295,5339,5399,5478,5535,5570
"911","M",60301,6061,5919,5883,5828,5759,5792,5695,5637,5596,5561,5784,5801,5826,5863,5868,5930,5966,6054,6132,6202,6232
"913","F",60302,7246,7411,7557,7715,7771,7819,7920,7924,7991,8063,8125,8148,8179,8293,8358,8417,8569,8695,8865,9023,9130
"914","M",60302,7625,7769,7896,8048,8094,8132,8243,8256,8313,8383,8463,8490,8569,8706,8795,8873,9039,9213,9407,9560,9727
"916","F",60303,2920,2975,3042,3122,3166,3145,3166,3173,3170,3129,3029,3028,3023,3117,3182,3235,3264,3289,3316,3315,3309
"917","M",60303,2953,3042,3100,3160,3163,3179,3173,3168,3174,3157,3240,3234,3277,3322,3398,3417,3441,3484,3517,3538,3527
"919","F",60401,25385,25360,25198,25084,24979,24892,24795,24661,24521,24466,24499,24427,24534,24699,24656,24822,24946,25115,25340,25439,25500
"920","M",60401,24866,24760,24570,24433,24278,24149,24019,23802,23639,23516,23242,23153,23334,23455,23390,23728,23902,24208,24412,24532,24588
"922","F",60402,19816,20048,20149,20304,20461,20623,20656,20679,20703,20778,20719,20701,20894,21155,21340,21395,21649,21974,22363,22605,22733
"923","M",60402,19144,19358,19456,19592,19754,19920,19924,19916,19916,19936,20087,20048,20360,20721,20884,21000,21212,21632,22061,22293,22457
"925","F",60403,10733,10603,10518,10232,9981,9978,9849,9673,9518,9379,9300,9179,9178,9141,9147,9167,9150,9132,9131,9077,8926
"926","M",60403,11851,11673,11565,11251,10956,10947,10733,10530,10298,10142,10059,10019,10023,10009,9977,9986,9964,10013,9978,9951,9880
"928","F",70101,7246,7178,7202,7181,7256,7349,7523,7642,7842,8149,8249,8298,8476,8753,9140,9400,9837,10391,10936,11208,11345
"929","M",70101,8939,8925,9053,9129,9351,9547,9677,9775,9895,10120,10220,10306,10412,10722,11310,11662,11931,12312,12776,13060,13431
"931","F",70102,25720,25767,25574,25466,25662,25759,25741,25377,24902,24912,25147,24859,24626,24568,24657,24702,25127,25668,26363,26728,26685
"932","M",70102,27533,27595,27551,27493,27774,28002,27962,27732,27433,27346,26995,26789,26436,26297,26401,26569,26885,27361,27909,28322,28553
"934","F",70103,4079,4416,4777,5101,5544,5935,6270,6494,6661,6846,6747,6738,6756,6814,6983,7095,7579,8050,8466,8812,8976
"935","M",70103,4801,5202,5669,6056,6613,7103,7531,7779,8043,8205,8597,8669,8654,8723,8817,8950,9419,9933,10342,10644,10826
"937","F",70104,3998,4342,4849,5483,6119,6756,7845,8674,9613,10230,10980,11209,11268,11408,11764,12224,12817,13485,14021,14327,14559
"938","M",70104,4098,4409,4895,5515,6110,6796,7969,8922,9956,10604,11345,11811,11805,11926,12316,12859,13340,14010,14502,14728,14731
"940","F",70201,16351,16699,17019,17299,17669,18084,18445,18682,18976,19295,19585,19617,19655,19726,19891,20035,19943,19755,19685,19598,19406
"941","M",70201,17168,17512,17787,17996,18332,18730,19143,19425,19857,20363,20622,20577,20305,20054,19819,19692,19955,20609,21233,21554,21617
"943","F",70202,2796,2929,2994,3043,3095,3153,3175,3113,3047,2972,2888,2844,2813,2826,2907,2964,3011,3057,3095,3128,3167
"944","M",70202,3196,3326,3389,3420,3462,3512,3531,3473,3388,3287,3153,3111,3058,3032,3081,3146,3229,3338,3407,3427,3396
"946","F",70203,5842,5916,6002,6074,6221,6406,6686,6852,6943,7016,7108,7121,7150,7221,7374,7514,7618,7770,8007,8176,8362
"947","M",70203,6433,6519,6621,6718,6895,7111,7336,7480,7565,7576,7623,7683,7725,7793,7927,8137,8438,8804,9211,9565,9737
"949","F",70204,5561,5580,5601,5665,5740,5873,6072,6199,6325,6393,6520,6571,6615,6733,6965,7173,7272,7347,7438,7519,7533
"950","M",70204,6033,6053,6083,6142,6204,6362,6618,6789,6863,6975,6992,7092,7112,7209,7489,7699,7910,8180,8404,8558,8568
"952","F",70205,7271,7445,7621,7807,7963,8130,8315,8455,8657,8857,8965,9004,9026,9112,9314,9448,9481,9580,9695,9766,9776
"953","M",70205,8428,8733,9021,9320,9592,9908,9916,10042,10046,10003,10007,9952,9833,9746,9750,9788,9956,10224,10537,10658,10624
"955","F",80101,44932,44599,44099,43395,43184,43355,42986,42722,42750,43080,43468,43926,43993,43831,43828,43952,45115,45776,46559,47765,48136
"956","M",80101,44511,44086,43521,42786,42522,42632,42260,42327,42291,42497,42714,43016,43340,43187,43260,43339,44516,45288,46198,47258,47513
"958","F",80103,747,730,709,673,626,585,576,567,538,531,510,506,504,502,490,473,478,481,495,503,513
"959","M",80103,1068,1065,1080,1072,1026,1002,985,952,936,910,889,863,842,813,755,711,718,726,893,974,1036
"961","F",80105,19871,19800,19551,19464,19295,19328,19198,19020,19036,19227,19460,19832,20391,20870,21242,21720,22405,22964,23429,23922,24520
"962","M",80105,19979,19896,19659,19497,19301,19289,19134,19013,18959,19015,19150,19634,20308,20896,21411,22111,22983,23608,24283,24817,25390
"964","F",80106,10697,10701,10836,10911,11021,11113,11230,11243,11334,11380,11426,11443,11479,11535,11756,12121,12375,12457,12566,12688,12794
"965","M",80106,10258,10254,10320,10351,10460,10505,10681,10681,10767,10777,10874,10977,10965,10948,11237,11625,11856,11949,12098,12237,12382
"967","F",80107,37157,40553,42781,44159,44959,45604,45610,45559,45747,46054,46411,46323,46272,45874,45654,45559,45787,45761,45824,45667,45110
"968","M",80107,37255,40498,42512,43727,44427,44903,44829,44828,44873,45004,45096,44976,44904,44684,44573,44471,44678,44764,44924,44814,44209
"970","F",80108,13503,13324,13053,12877,12654,12612,12473,12329,12279,12205,12208,12188,11816,11634,11651,11623,11699,11755,11822,11906,11876
"971","M",80108,13615,13339,12985,12680,12393,12262,11999,11761,11690,11544,11518,11469,11188,11071,11059,11071,11228,11301,11408,11515,11478
"973","F",80109,16962,17004,16874,16719,16676,16688,16511,16449,16517,16526,16585,16675,16806,16730,16892,17032,17081,17134,17224,17383,17422
"974","M",80109,16959,16963,16792,16592,16526,16504,16316,16224,16127,16101,16134,16186,16156,16102,16121,16194,16328,16436,16591,16685,16702
