"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"638","M",31305,23455,23603,23589,23546,23494,23614,23516,23468,23451,23543,23696,24016,24372,24579,24916,25219,25923,26621,27296,27763,28204
"640","F",31401,21675,22697,23442,24364,25358,26173,27127,28189,29260,30334,31537,32891,34571,35346,36328,37160,38320,39177,40292,41025,41568
"641","M",31401,22229,23216,23942,24786,25732,26493,27450,28483,29549,30594,31728,32877,34376,35256,36312,37214,38375,39301,40419,41102,41708
"643","F",31402,7599,8129,8505,8834,9264,9762,10164,10636,11166,11474,12135,13016,14109,15478,16667,17670,19546,21476,23437,25233,26948
"644","M",31402,7686,8213,8626,8954,9393,9892,10265,10699,11184,11459,12088,12887,13886,15166,16300,17256,19047,20893,22779,24384,25901
"646","F",31403,15607,15876,15957,16073,16230,16366,16451,16455,16441,16638,16794,17031,17221,17424,17589,17698,17892,18087,18165,18324,18416
"647","M",31403,15658,15873,15920,15986,16108,16193,16240,16254,16244,16427,16539,16744,16900,17149,17320,17435,17633,17896,18018,18180,18246
"649","F",31501,11570,11690,11799,11884,11969,12111,12272,12486,12742,13048,13455,13315,13388,13470,13524,13617,13928,14144,14308,14456,14685
"650","M",31501,13055,13225,13399,13532,13667,13872,13992,14092,14260,14480,14567,14962,14991,15076,15200,15245,15670,16038,16379,16691,16939
"652","F",31502,17066,16872,16602,16248,15811,15633,15546,15478,15380,15428,15433,15375,15350,15218,15104,14987,15198,15511,15626,15785,15977
"653","M",31502,19582,19454,19265,18953,18572,18451,18340,18225,18094,18108,18192,17618,17214,16919,17003,17062,17408,17925,18138,18339,18564
"655","F",31503,11692,11537,11359,11131,10821,10654,10584,10523,10481,10464,10498,10396,10212,10044,9942,9773,9763,9806,9869,9942,10031
"656","M",31503,13266,13031,12810,12482,12091,11867,11748,11667,11612,11542,11476,11337,11023,10818,10644,10398,10284,10274,10301,10362,10435
"658","F",31601,8041,9025,10055,11206,12305,13120,13894,15052,15893,16501,17362,18336,19652,20682,21512,22105,22694,23350,23960,24455,24829
"659","M",31601,7456,8427,9451,10552,11652,12455,13138,14161,14907,15425,16095,16881,17983,18872,19600,20102,20666,21265,21821,22247,22582
"661","F",31602,18732,19491,20288,21232,21992,22371,23123,23806,24598,25387,26223,27265,28881,30296,31394,32383,33500,34720,35941,36769,37335
"662","M",31602,17882,18680,19540,20536,21322,21761,22372,22951,23619,24289,24761,25727,27226,28568,29599,30575,31627,32816,33968,34670,35204
"664","F",31603,15644,16372,17204,17935,18543,18953,19564,20055,20570,21266,21855,22449,23011,23743,24264,24810,25415,26008,26495,26927,27286
"665","M",31603,15494,16215,17054,17808,18395,18828,19296,19748,20215,20801,21221,21777,22365,23214,23757,24419,24828,25250,25575,25791,26091
"667","F",31604,17596,18303,19204,20061,20791,21556,22294,22825,23200,23802,23987,24683,25452,26169,26651,27233,27800,28513,29223,29753,30130
"668","M",31604,17227,17855,18702,19511,20242,20967,21697,22168,22506,23037,23863,24501,25194,25965,26411,27023,27584,28256,28910,29329,29741
"670","F",31605,8550,9262,9874,10795,11741,12506,13076,13630,14155,14639,15162,15766,16209,16484,16753,17028,17494,18085,18589,18955,19267
"671","M",31605,8547,9233,9839,10724,11636,12387,12874,13349,13791,14207,14626,15131,15572,15823,16129,16364,16741,17252,17689,17937,18071
"673","F",31606,12821,13689,14551,15244,15995,16641,17115,17452,17819,18145,18667,19090,19782,20377,20985,21492,21928,22606,23291,23721,24103
"674","M",31606,13312,14181,15063,15786,16530,17162,17598,17901,18205,18475,18605,19059,19667,20133,20748,21202,21627,22279,22900,23269,23640
"676","F",31701,57285,58191,59297,60001,60254,60841,61381,62044,62684,63349,63357,64252,65149,66156,67527,68522,69569,70795,72246,73220,74054
"677","M",31701,53689,54354,55304,55859,56004,56442,56916,57297,57804,58311,59639,60581,61563,62732,64248,65410,66367,67507,68809,69682,70204
