No.,Code,Name,Age,Males1996,Males2001,Females1996,Females2001
,,,75–79,638,866.0,877,1091.0
,,,80–84,347,481.0,611,790.0
,,,85+,243,330.0,534,724.0
9,10303,Lithgow - Mudgee,0–4,1839,1560.0,1651,1421.0
,,,5–9,1825,1751.0,1772,1633.0
,,,10–14,1773,1712.0,1688,1659.0
,,,15–19,1400,1509.0,1283,1374.0
,,,20–24,1077,1080.0,1083,994.0
,,,25–29,1317,1217.0,1343,1232.0
,,,30–34,1540,1469.0,1552,1407.0
,,,35–39,1592,1630.0,1559,1623.0
,,,40–44,1495,1695.0,1471,1543.0
,,,45–49,1637,1539.0,1487,1438.0
,,,50–54,1498,1654.0,1336,1473.0
,,,55–59,1318,1472.0,1174,1321.0
,,,60–64,1089,1182.0,1018,1067.0
,,,65–69,966,953.0,883,909.0
,,,70–74,710,797.0,790,806.0
,,,75–79,428,540.0,620,678.0
,,,80–84,252,293.0,413,520.0
,,,85+,173,184.0,340,403.0
10,10304,Orange,0–4,1929,2061.0,1953,1896.0
,,,5–9,2069,2080.0,1926,1987.0
,,,10–14,2112,2116.0,2061,2009.0
,,,15–19,1901,1997.0,1861,1938.0
,,,20–24,1751,1573.0,1662,1406.0
,,,25–29,1608,1659.0,1668,1670.0
,,,30–34,1751,1749.0,1792,1810.0
,,,35–39,1868,1809.0,1913,1849.0
,,,40–44,1802,1901.0,1775,1944.0
,,,45–49,1683,1815.0,1696,1728.0
,,,50–54,1408,1740.0,1321,1727.0
,,,55–59,1163,1375.0,1174,1336.0
,,,60–64,1039,1171.0,985,1148.0
,,,65–69,909,1000.0,960,1017.0
,,,70–74,684,846.0,875,907.0
,,,75–79,412,574.0,666,815.0
,,,80–84,244,323.0,470,568.0
,,,85+,152,201.0,393,543.0
11,10401,Clarence Valley,0–4,1664,1553.0,1572,1460.0
,,,5–9,1910,1796.0,1822,1709.0
,,,10–14,1854,1950.0,1775,1869.0
,,,15–19,1452,1618.0,1376,1480.0
