No.,Code,Name,Age,Males1996,Males2001,Females1996,Females2001
,,,50–54,3521,3719.0,3601,3720.0
,,,55–59,2617,2722.0,2771,2813.0
,,,60–64,2247,2279.0,2090,2384.0
,,,65–69,2200,1971.0,2356,2092.0
,,,70–74,1919,1855.0,2684,2383.0
,,,75–79,1436,1480.0,2192,2215.0
,,,80–84,962,941.0,2117,1591.0
,,,85+,803,621.0,2890,1739.0
84,12701,Bringelly - Green Valley,0–4,2429,3318.0,2390,3016.0
,,,5–9,2251,3368.0,2282,3296.0
,,,10–14,2033,2990.0,2024,2897.0
,,,15–19,1843,2888.0,2029,2746.0
,,,20–24,2086,2567.0,2027,2455.0
,,,25–29,2194,2710.0,2225,2938.0
,,,30–34,2295,3019.0,2292,3235.0
,,,35–39,2008,3275.0,2105,3111.0
,,,40–44,1913,2849.0,1993,2759.0
,,,45–49,1959,2285.0,1848,2240.0
,,,50–54,1359,2028.0,1229,1890.0
,,,55–59,960,1421.0,873,1285.0
,,,60–64,757,1177.0,682,1173.0
,,,65–69,577,908.0,653,906.0
,,,70–74,450,603.0,581,679.0
,,,75–79,316,391.0,455,468.0
,,,80–84,184,168.0,371,242.0
,,,85+,89,109.0,283,192.0
85,12702,Fairfield,0–4,7315,6442.0,6772,6123.0
,,,5–9,7075,7005.0,6639,6428.0
,,,10–14,7227,6746.0,6969,6448.0
,,,15–19,7023,7200.0,6843,6825.0
,,,20–24,7400,6579.0,7337,6596.0
,,,25–29,7149,6550.0,7134,6795.0
,,,30–34,7618,6540.0,7194,6698.0
,,,35–39,7630,7173.0,7535,6850.0
,,,40–44,6557,7095.0,6698,7192.0
,,,45–49,5908,6231.0,5800,6344.0
,,,50–54,4612,5754.0,4102,5516.0
,,,55–59,3792,4263.0,3596,3818.0
,,,60–64,3105,3454.0,3059,3391.0
,,,65–69,2583,2769.0,2757,2887.0
,,,70–74,1823,2289.0,2281,2477.0
,,,75–79,979,1503.0,1312,1949.0
,,,80–84,468,684.0,806,1070.0
,,,85+,260,441.0,560,808.0
86,12703,Liverpool,0–4,2961,3983.0,2794,3751.0
,,,5–9,3230,3667.0,3079,3483.0
,,,10–14,3085,3256.0,3002,3054.0
,,,15–19,2965,3083.0,2775,2836.0
,,,20–24,2860,3545.0,2696,3398.0
,,,25–29,2432,4001.0,2510,4227.0
,,,30–34,2795,4185.0,2986,4095.0
,,,35–39,3165,4111.0,3383,3590.0
,,,40–44,3172,3363.0,3249,3286.0
,,,45–49,3165,2741.0,3070,2753.0
,,,50–54,2518,2693.0,2282,2688.0
,,,55–59,1635,2138.0,1494,1916.0
,,,60–64,1129,1562.0,1081,1520.0
,,,65–69,951,1198.0,1000,1228.0
,,,70–74,698,906.0,826,1052.0
,,,75–79,411,636.0,579,804.0
,,,80–84,223,319.0,395,542.0
,,,85+,102,182.0,296,488.0
87,12801,Cronulla - Miranda - Caringbah,0–4,3012,3010.0,2784,2951.0
,,,5–9,2876,3054.0,2865,3001.0
,,,10–14,2807,2940.0,2684,3044.0
,,,15–19,3000,3205.0,2926,2990.0
,,,20–24,4353,3598.0,4077,3437.0
,,,25–29,4349,4309.0,3901,4220.0
,,,30–34,3815,3959.0,3560,3842.0
,,,35–39,3690,3926.0,3472,3715.0
,,,40–44,3267,3813.0,3277,3702.0
,,,45–49,3412,3346.0,3391,3433.0
,,,50–54,2814,3472.0,2898,3442.0
,,,55–59,2420,2760.0,2481,2851.0
,,,60–64,2236,2280.0,2340,2372.0
,,,65–69,2301,2019.0,2655,2221.0
,,,70–74,1930,1977.0,2341,2469.0
,,,75–79,1155,1576.0,1574,2045.0
,,,80–84,589,857.0,1099,1362.0
,,,85+,323,486.0,816,1143.0
88,12802,Sutherland - Menai - Heathcote,0–4,3396,3847.0,3167,3622.0
,,,5–9,3360,4149.0,3310,3905.0
,,,10–14,3264,4450.0,3145,4302.0
,,,15–19,3382,4338.0,3276,4135.0
,,,20–24,4441,3865.0,4174,3443.0
,,,25–29,4320,3823.0,3982,3752.0
,,,30–34,3991,3813.0,3839,4025.0
,,,35–39,3994,4154.0,3877,4410.0
,,,40–44,3656,4300.0,3685,4656.0
,,,45–49,3770,4221.0,3728,4329.0
,,,50–54,3114,4101.0,3119,4055.0
,,,55–59,2552,3116.0,2565,2857.0
,,,60–64,2266,1983.0,2337,1824.0
,,,65–69,2267,1327.0,2565,1435.0
,,,70–74,1902,1229.0,2262,1399.0
,,,75–79,1194,843.0,1582,1146.0
,,,80–84,681,457.0,1142,776.0
,,,85+,319,275.0,765,712.0
89,20101,Ballarat,0–4,2979,2931.0,2776,2791.0
,,,5–9,3044,3112.0,2870,2958.0
,,,10–14,3170,3149.0,2977,3085.0
,,,15–19,3356,3381.0,3440,3454.0
,,,20–24,3330,3034.0,3377,3181.0
,,,25–29,2737,2798.0,2882,2857.0
,,,30–34,2787,2805.0,2850,2985.0
,,,35–39,2867,2909.0,2987,3033.0
,,,40–44,2785,2953.0,2898,3110.0
,,,45–49,2609,2725.0,2731,2857.0
,,,50–54,2048,2541.0,2028,2677.0
,,,55–59,1669,1921.0,1787,1959.0
,,,60–64,1496,1572.0,1541,1756.0
,,,65–69,1450,1432.0,1668,1583.0
,,,70–74,1183,1316.0,1600,1682.0
,,,75–79,795,985.0,1188,1507.0
,,,80–84,490,598.0,907,1027.0
,,,85+,313,425.0,738,1002.0
90,20102,Creswick - Daylesford - Ballan,0–4,977,866.0,917,773.0
,,,5–9,1093,992.0,1038,983.0
,,,10–14,1115,1047.0,1025,965.0
,,,15–19,832,903.0,777,845.0
,,,20–24,604,616.0,564,496.0
,,,25–29,616,616.0,690,600.0
,,,30–34,849,733.0,997,866.0
,,,35–39,1021,943.0,1046,1119.0
,,,40–44,1030,1061.0,1038,1053.0
,,,45–49,973,1049.0,929,1043.0
,,,50–54,782,1026.0,740,952.0
,,,55–59,665,847.0,591,805.0
,,,60–64,574,692.0,569,589.0
,,,65–69,605,548.0,540,524.0
,,,70–74,445,451.0,413,456.0
,,,75–79,240,335.0,339,343.0
,,,80–84,162,172.0,230,247.0
,,,85+,94,119.0,229,243.0
91,20103,Maryborough - Pyrenees,0–4,843,708.0,781,638.0
,,,5–9,861,841.0,836,791.0
,,,10–14,959,948.0,933,854.0
,,,15–19,886,822.0,730,725.0
,,,20–24,716,540.0,524,450.0
,,,25–29,658,597.0,618,529.0
,,,30–34,727,696.0,757,672.0
,,,35–39,845,757.0,867,792.0
,,,40–44,890,874.0,859,871.0
,,,45–49,908,903.0,857,877.0
,,,50–54,774,951.0,719,912.0
,,,55–59,665,830.0,677,795.0
,,,60–64,690,753.0,595,736.0
,,,65–69,675,663.0,681,536.0
,,,70–74,538,569.0,582,564.0
,,,75–79,341,421.0,394,458.0
,,,80–84,222,192.0,290,297.0
,,,85+,129,144.0,221,246.0
92,20201,Bendigo,0–4,2597,2629.0,2550,2458.0
,,,5–9,2695,2749.0,2548,2759.0
,,,10–14,2862,2817.0,2800,2730.0
,,,15–19,2851,3008.0,2924,3115.0
,,,20–24,2837,2690.0,2827,2800.0
,,,25–29,2414,2470.0,2402,2538.0
,,,30–34,2297,2478.0,2598,2552.0
,,,35–39,2573,2497.0,2726,2784.0
,,,40–44,2585,2684.0,2656,2846.0
,,,45–49,2397,2557.0,2411,2690.0
,,,50–54,1721,2384.0,1710,2400.0
,,,55–59,1462,1753.0,1545,1776.0
,,,60–64,1325,1490.0,1430,1630.0
,,,65–69,1272,1375.0,1542,1474.0
,,,70–74,1138,1229.0,1409,1610.0
,,,75–79,750,981.0,1131,1368.0
,,,80–84,489,550.0,801,989.0
,,,85+,329,438.0,752,1014.0
93,20202,Heathcote - Castlemaine - Kyneton,0–4,1474,1214.0,1425,1170.0
,,,5–9,1558,1596.0,1460,1479.0
,,,10–14,1561,1581.0,1567,1476.0
,,,15–19,1397,1352.0,1297,1283.0
,,,20–24,1135,866.0,956,733.0
,,,25–29,1103,881.0,1052,871.0
,,,30–34,1305,1155.0,1390,1246.0
,,,35–39,1515,1343.0,1621,1507.0
,,,40–44,1628,1644.0,1606,1676.0
,,,45–49,1498,1635.0,1470,1598.0
,,,50–54,1191,1521.0,1078,1593.0
,,,55–59,930,1302.0,887,1178.0
,,,60–64,778,1036.0,820,1003.0
,,,65–69,783,856.0,817,841.0
,,,70–74,608,762.0,758,753.0
,,,75–79,466,531.0,716,611.0
,,,80–84,262,331.0,496,511.0
,,,85+,191,203.0,398,471.0
94,20203,Loddon - Elmore,0–4,443,360.0,408,365.0
,,,5–9,491,460.0,540,404.0
,,,10–14,508,463.0,495,462.0
,,,15–19,473,417.0,431,364.0
,,,20–24,331,254.0,203,188.0
,,,25–29,371,260.0,351,218.0
,,,30–34,343,310.0,360,345.0
,,,35–39,518,401.0,437,421.0
,,,40–44,552,507.0,425,441.0
,,,45–49,458,485.0,416,451.0
,,,50–54,360,489.0,340,441.0
,,,55–59,339,379.0,313,332.0
,,,60–64,336,344.0,327,326.0
,,,65–69,293,323.0,292,295.0
,,,70–74,276,296.0,257,253.0
,,,75–79,172,199.0,174,202.0
,,,80–84,103,126.0,153,149.0
,,,85+,69,80.0,119,123.0
95,20301,Barwon - West,0–4,426,492.0,421,418.0
,,,5–9,515,549.0,456,515.0
,,,10–14,427,597.0,418,560.0
,,,15–19,410,473.0,321,442.0
,,,20–24,342,304.0,277,273.0
,,,25–29,322,321.0,314,290.0
,,,30–34,391,426.0,419,456.0
,,,35–39,494,510.0,519,589.0
,,,40–44,474,604.0,465,579.0
,,,45–49,440,564.0,360,539.0
,,,50–54,285,531.0,259,500.0
,,,55–59,254,412.0,273,352.0
,,,60–64,250,321.0,254,260.0
,,,65–69,274,229.0,251,180.0
,,,70–74,241,173.0,269,143.0
,,,75–79,150,109.0,177,129.0
,,,80–84,96,77.0,128,73.0
,,,85+,43,41.0,79,67.0
96,20302,Geelong,0–4,5396,5226.0,4967,5051.0
,,,5–9,5462,5546.0,5066,5212.0
,,,10–14,5629,5547.0,5409,5293.0
,,,15–19,6067,5780.0,6084,5742.0
,,,20–24,6249,5366.0,5951,5477.0
,,,25–29,5523,5694.0,5509,5578.0
,,,30–34,5539,5677.0,5664,5680.0
,,,35–39,5615,5650.0,5695,5867.0
,,,40–44,5383,5655.0,5594,5875.0
,,,45–49,5409,5334.0,5425,5532.0
,,,50–54,4197,5165.0,4187,5324.0
,,,55–59,3515,3918.0,3520,3960.0
,,,60–64,3087,3289.0,3310,3507.0
,,,65–69,3056,2936.0,3362,3247.0
,,,70–74,2607,2769.0,3327,3298.0
,,,75–79,1636,2201.0,2257,3139.0
,,,80–84,1093,1235.0,1688,2008.0
,,,85+,537,898.0,1210,1907.0
97,20303,Surf Coast - Bellarine Peninsula,0–4,1514,1588.0,1517,1438.0
,,,5–9,1781,1867.0,1749,1694.0
,,,10–14,1615,1879.0,1405,1812.0
,,,15–19,1378,1549.0,1126,1465.0
,,,20–24,1105,1222.0,1043,1034.0
,,,25–29,1198,1344.0,1097,1325.0
,,,30–34,1578,1423.0,1622,1649.0
,,,35–39,1719,1749.0,1898,1827.0
,,,40–44,1884,1915.0,1835,2073.0
,,,45–49,1567,1850.0,1334,1911.0
,,,50–54,1042,1700.0,1092,1692.0
,,,55–59,951,1314.0,1128,1445.0
,,,60–64,1159,1242.0,1164,1354.0
,,,65–69,1277,1159.0,1410,1266.0
,,,70–74,1049,1186.0,1313,1300.0
,,,75–79,827,899.0,1095,1089.0
,,,80–84,488,499.0,957,664.0
,,,85+,353,296.0,815,569.0
98,20401,Upper Goulburn Valley,0–4,1710,1471.0,1585,1382.0
,,,5–9,1931,1773.0,1752,1634.0
,,,10–14,1862,1952.0,1794,1767.0
,,,15–19,1535,1708.0,1315,1488.0
,,,20–24,1224,1089.0,1009,942.0
,,,25–29,1326,1197.0,1282,1197.0
,,,30–34,1580,1415.0,1685,1507.0
,,,35–39,1774,1619.0,1911,1694.0
,,,40–44,1864,1778.0,1705,1832.0
,,,45–49,1739,1758.0,1549,1699.0
,,,50–54,1278,1788.0,1166,1643.0
,,,55–59,1081,1467.0,991,1366.0
,,,60–64,966,1243.0,942,1115.0
,,,65–69,988,990.0,924,985.0
,,,70–74,767,973.0,790,934.0
,,,75–79,486,686.0,537,741.0
,,,80–84,241,388.0,416,492.0
,,,85+,189,207.0,391,508.0
99,20402,Wangaratta - Benalla,0–4,1513,1371.0,1527,1299.0
,,,5–9,1721,1640.0,1573,1614.0
,,,10–14,1831,1727.0,1760,1615.0
,,,15–19,1518,1596.0,1472,1481.0
,,,20–24,1192,983.0,1069,977.0
,,,25–29,1256,1122.0,1220,1127.0
,,,30–34,1364,1294.0,1481,1300.0
,,,35–39,1641,1438.0,1747,1555.0
,,,40–44,1644,1624.0,1640,1745.0
,,,45–49,1597,1601.0,1527,1582.0
,,,50–54,1260,1518.0,1263,1544.0
,,,55–59,1085,1258.0,1102,1263.0
,,,60–64,929,1090.0,961,1074.0
,,,65–69,927,886.0,1033,954.0
,,,70–74,798,863.0,917,1002.0
,,,75–79,501,691.0,686,870.0
,,,80–84,342,370.0,535,608.0
,,,85+,211,280.0,465,609.0
100,20403,Wodonga - Alpine,0–4,2361,2178.0,2161,2100.0
,,,5–9,2515,2518.0,2344,2305.0
,,,10–14,2447,2563.0,2339,2406.0
,,,15–19,2452,2357.0,2237,2224.0
,,,20–24,2138,1826.0,1804,1568.0
,,,25–29,1990,1843.0,1979,1793.0
,,,30–34,2217,2043.0,2364,2155.0
,,,35–39,2402,2286.0,2444,2409.0
,,,40–44,2334,2417.0,2284,2559.0
,,,45–49,2212,2302.0,2027,2290.0
,,,50–54,1612,2190.0,1591,2088.0
,,,55–59,1304,1676.0,1267,1640.0
,,,60–64,1110,1366.0,1090,1338.0
,,,65–69,1060,1103.0,1034,1107.0
,,,70–74,817,1019.0,993,1029.0
,,,75–79,536,725.0,673,923.0
,,,80–84,316,374.0,486,586.0
,,,85+,191,262.0,364,542.0
101,20501,Baw Baw,0–4,1355,1208.0,1348,1153.0
,,,5–9,1514,1425.0,1414,1438.0
,,,10–14,1510,1612.0,1466,1480.0
,,,15–19,1310,1371.0,1182,1316.0
,,,20–24,941,911.0,891,851.0
,,,25–29,1108,884.0,1045,987.0
,,,30–34,1184,1125.0,1240,1157.0
,,,35–39,1377,1226.0,1420,1346.0
,,,40–44,1323,1427.0,1337,1472.0
,,,45–49,1286,1307.0,1142,1327.0
,,,50–54,954,1282.0,905,1223.0
,,,55–59,810,968.0,764,947.0
,,,60–64,654,848.0,668,837.0
,,,65–69,664,667.0,656,677.0
,,,70–74,534,625.0,591,641.0
,,,75–79,383,434.0,492,566.0
,,,80–84,229,263.0,367,390.0
,,,85+,123,177.0,258,365.0
102,20502,Gippsland - East,0–4,1407,1126.0,1279,1062.0
,,,5–9,1502,1397.0,1484,1282.0
,,,10–14,1584,1448.0,1487,1443.0
,,,15–19,1292,1342.0,1083,1169.0
,,,20–24,967,817.0,826,733.0
,,,25–29,1053,823.0,1057,840.0
,,,30–34,1171,1045.0,1302,1144.0
,,,35–39,1390,1181.0,1463,1318.0
,,,40–44,1415,1366.0,1413,1443.0
,,,45–49,1440,1369.0,1316,1382.0
,,,50–54,1223,1470.0,1166,1433.0
,,,55–59,1100,1342.0,1123,1313.0
,,,60–64,1083,1224.0,1080,1208.0
,,,65–69,1116,1103.0,1065,1043.0
,,,70–74,922,992.0,886,1008.0
,,,75–79,556,763.0,646,783.0
,,,80–84,277,372.0,475,550.0
,,,85+,182,228.0,344,455.0
103,20503,Gippsland - South West,0–4,1556,1511.0,1508,1464.0
,,,5–9,1798,1754.0,1704,1707.0
,,,10–14,1765,1877.0,1779,1877.0
,,,15–19,1290,1641.0,1236,1569.0
,,,20–24,1088,1069.0,954,949.0
,,,25–29,1223,1232.0,1157,1237.0
,,,30–34,1443,1458.0,1444,1476.0
,,,35–39,1678,1663.0,1729,1722.0
,,,40–44,1628,1807.0,1673,1872.0
,,,45–49,1620,1835.0,1557,1833.0
,,,50–54,1354,1817.0,1352,1841.0
,,,55–59,1233,1607.0,1298,1673.0
,,,60–64,1309,1499.0,1415,1498.0
,,,65–69,1486,1364.0,1561,1399.0
,,,70–74,1318,1333.0,1351,1405.0
,,,75–79,793,930.0,996,1069.0
,,,80–84,426,495.0,608,758.0
,,,85+,216,306.0,478,608.0
104,20504,Latrobe Valley,0–4,2907,2443.0,2759,2284.0
,,,5–9,2927,2775.0,2909,2706.0
,,,10–14,3054,2784.0,2901,2721.0
,,,15–19,2721,2649.0,2592,2646.0
,,,20–24,2601,2061.0,2587,2121.0
,,,25–29,2454,2026.0,2541,2198.0
,,,30–34,2610,2312.0,2747,2456.0
,,,35–39,2863,2473.0,2880,2635.0
,,,40–44,2740,2649.0,2629,2701.0
,,,45–49,2443,2505.0,2358,2525.0
,,,50–54,1903,2345.0,1755,2284.0
,,,55–59,1528,1781.0,1428,1705.0
,,,60–64,1226,1452.0,1244,1439.0
,,,65–69,1195,1173.0,1204,1265.0
,,,70–74,887,1139.0,1153,1263.0
,,,75–79,555,823.0,843,1147.0
,,,80–84,292,427.0,552,718.0
,,,85+,149,248.0,372,556.0
105,20505,Wellington,0–4,1612,1363.0,1506,1252.0
,,,5–9,1733,1596.0,1735,1469.0
,,,10–14,1900,1628.0,1781,1624.0
,,,15–19,1491,1531.0,1389,1468.0
,,,20–24,1144,1201.0,1048,918.0
,,,25–29,1287,1233.0,1209,1019.0
,,,30–34,1436,1339.0,1486,1243.0
,,,35–39,1642,1433.0,1661,1435.0
,,,40–44,1692,1615.0,1596,1638.0
,,,45–49,1567,1580.0,1397,1495.0
,,,50–54,1109,1514.0,1053,1392.0
,,,55–59,958,1107.0,916,1052.0
,,,60–64,809,967.0,815,910.0
,,,65–69,886,775.0,849,771.0
,,,70–74,678,796.0,816,789.0
,,,75–79,444,515.0,590,716.0
,,,80–84,260,281.0,385,464.0
,,,85+,149,180.0,295,352.0
106,20601,Brunswick - Coburg,0–4,2407,2106.0,2259,1953.0
,,,5–9,1899,1829.0,1864,1738.0
,,,10–14,1672,1644.0,1603,1507.0
,,,15–19,2034,1850.0,2043,1909.0
,,,20–24,3594,3406.0,3637,3584.0
,,,25–29,3939,3773.0,4021,3982.0
,,,30–34,3616,3779.0,3686,3840.0
,,,35–39,3089,3141.0,2981,3084.0
,,,40–44,2325,2547.0,2328,2716.0
,,,45–49,1932,2083.0,1990,2142.0
,,,50–54,1608,1775.0,1601,1898.0
,,,55–59,1706,1482.0,1818,1412.0
,,,60–64,1645,1425.0,1738,1555.0
,,,65–69,1667,1382.0,1761,1473.0
,,,70–74,1399,1264.0,1594,1348.0
,,,75–79,806,953.0,1080,1119.0
,,,80–84,553,514.0,816,803.0
,,,85+,283,362.0,621,718.0
107,20602,Darebin - South,0–4,1525,1415.0,1338,1307.0
,,,5–9,1101,1164.0,1083,1073.0
,,,10–14,964,928.0,892,913.0
,,,15–19,1049,1035.0,1111,960.0
,,,20–24,1931,1654.0,2039,1820.0
,,,25–29,2433,2353.0,2664,2544.0
,,,30–34,2551,2605.0,2760,2746.0
,,,35–39,2181,2238.0,2184,2304.0
,,,40–44,1702,1832.0,1695,1896.0
,,,45–49,1278,1486.0,1322,1485.0
,,,50–54,1038,1128.0,1001,1230.0
,,,55–59,945,906.0,1024,895.0
,,,60–64,1045,899.0,1035,976.0
,,,65–69,918,849.0,909,934.0
,,,70–74,718,785.0,875,799.0
,,,75–79,462,576.0,672,732.0
,,,80–84,321,340.0,549,515.0
,,,85+,209,233.0,486,536.0
108,20603,Essendon,0–4,2080,1787.0,1914,1798.0
,,,5–9,1835,1671.0,1832,1645.0
,,,10–14,1565,1560.0,1510,1619.0
,,,15–19,1543,1518.0,1545,1604.0
,,,20–24,2216,2001.0,2546,2268.0
,,,25–29,2565,2393.0,2863,2680.0
,,,30–34,2695,2584.0,2837,2742.0
,,,35–39,2564,2462.0,2588,2478.0
,,,40–44,2301,2330.0,2204,2326.0
,,,45–49,1780,2036.0,1675,2049.0
,,,50–54,1221,1653.0,1108,1633.0
,,,55–59,922,1137.0,972,1110.0
,,,60–64,914,917.0,1034,1050.0
,,,65–69,1039,845.0,1144,1020.0
,,,70–74,870,928.0,1229,1064.0
,,,75–79,663,751.0,1025,1139.0
,,,80–84,434,476.0,777,766.0
,,,85+,247,319.0,646,796.0
109,20604,Melbourne City,0–4,904,1057.0,891,968.0
,,,5–9,697,780.0,721,685.0
,,,10–14,742,828.0,684,717.0
,,,15–19,2092,2482.0,2376,2914.0
,,,20–24,3647,5146.0,3892,5411.0
,,,25–29,3140,4125.0,2894,3846.0
,,,30–34,2238,3090.0,1964,2707.0
,,,35–39,1741,2090.0,1521,1670.0
,,,40–44,1438,1548.0,1262,1326.0
,,,45–49,1254,1388.0,1144,1292.0
,,,50–54,1031,1431.0,878,1362.0
,,,55–59,830,1159.0,734,1041.0
,,,60–64,692,900.0,586,802.0
,,,65–69,641,677.0,569,613.0
,,,70–74,460,623.0,549,565.0
,,,75–79,338,401.0,451,517.0
,,,80–84,228,265.0,412,391.0
,,,85+,186,197.0,464,385.0
110,20605,Port Phillip,0–4,1640,1786.0,1538,1648.0
,,,5–9,1202,1362.0,1189,1198.0
,,,10–14,1106,1155.0,1058,1086.0
,,,15–19,1517,1448.0,1464,1490.0
,,,20–24,3289,3073.0,3845,3569.0
,,,25–29,5395,5565.0,5704,6030.0
,,,30–34,4918,5680.0,4547,5630.0
,,,35–39,3819,4137.0,3492,3672.0
,,,40–44,2908,3164.0,2573,2835.0
,,,45–49,2593,2584.0,2279,2377.0
,,,50–54,2026,2445.0,1791,2324.0
,,,55–59,1620,1944.0,1477,1736.0
,,,60–64,1372,1562.0,1296,1425.0
,,,65–69,1347,1227.0,1333,1140.0
,,,70–74,1183,1139.0,1388,1136.0
,,,75–79,759,837.0,1152,1097.0
,,,80–84,547,465.0,932,828.0
,,,85+,391,394.0,872,866.0
111,20606,Stonnington - West,0–4,937,1006.0,918,934.0
,,,5–9,783,833.0,776,848.0
,,,10–14,795,830.0,775,876.0
,,,15–19,1212,1170.0,1326,1248.0
,,,20–24,2721,2422.0,3340,2733.0
,,,25–29,3443,3386.0,3648,3534.0
,,,30–34,2583,2811.0,2453,2873.0
,,,35–39,1930,2126.0,1856,1941.0
,,,40–44,1539,1670.0,1616,1639.0
,,,45–49,1550,1430.0,1705,1609.0
,,,50–54,1345,1526.0,1419,1700.0
,,,55–59,1208,1398.0,1189,1424.0
,,,60–64,940,1188.0,999,1177.0
,,,65–69,893,890.0,1027,938.0
,,,70–74,726,800.0,1029,936.0
,,,75–79,543,634.0,846,907.0
,,,80–84,400,379.0,781,652.0
,,,85+,237,303.0,650,689.0
112,20607,Yarra,0–4,1790,1687.0,1747,1593.0
,,,5–9,1412,1287.0,1332,1262.0
,,,10–14,1158,1205.0,1182,1073.0
,,,15–19,1469,1367.0,1618,1496.0
,,,20–24,3795,3370.0,4742,3951.0
,,,25–29,4978,5079.0,5258,5731.0
,,,30–34,4303,4604.0,3762,4494.0
,,,35–39,3027,3427.0,2732,2828.0
,,,40–44,2253,2560.0,2191,2285.0
,,,45–49,1936,2052.0,2032,2028.0
,,,50–54,1582,1903.0,1558,2005.0
,,,55–59,1233,1461.0,1276,1427.0
,,,60–64,1224,1136.0,1213,1151.0
,,,65–69,1139,955.0,1089,1019.0
,,,70–74,802,873.0,932,924.0
,,,75–79,465,602.0,684,769.0
,,,80–84,308,325.0,544,552.0
,,,85+,187,257.0,495,556.0
113,20701,Boroondara,0–4,4239,4139.0,3869,4107.0
,,,5–9,4386,4834.0,4341,4461.0
,,,10–14,4703,5004.0,4483,4906.0
,,,15–19,5415,5548.0,5354,5517.0
,,,20–24,6279,6231.0,6615,6193.0
,,,25–29,5713,5376.0,5844,5494.0
,,,30–34,5048,5090.0,5399,5609.0
,,,35–39,5480,5407.0,5905,5979.0
,,,40–44,5536,5656.0,6099,6241.0
,,,45–49,5637,5516.0,6242,6139.0
,,,50–54,4565,5332.0,4602,5882.0
,,,55–59,3285,4062.0,3389,4069.0
,,,60–64,2750,2884.0,2949,3147.0
,,,65–69,2714,2422.0,3334,2713.0
,,,70–74,2372,2380.0,3532,2990.0
,,,75–79,1992,1966.0,3106,3073.0
,,,80–84,1337,1366.0,2662,2496.0
,,,85+,868,1057.0,2752,2960.0
114,20702,Manningham - West,0–4,2086,2270.0,2022,2139.0
,,,5–9,2498,2377.0,2396,2267.0
,,,10–14,2810,2622.0,2735,2572.0
,,,15–19,3467,3020.0,3224,2920.0
,,,20–24,4139,3246.0,3792,2943.0
,,,25–29,3243,3007.0,3068,2898.0
,,,30–34,2585,3063.0,2576,3112.0
,,,35–39,2655,2864.0,3021,3111.0
,,,40–44,2845,2923.0,3132,3176.0
,,,45–49,3197,2828.0,3890,3190.0
,,,50–54,3381,2954.0,3628,3649.0
,,,55–59,3156,3057.0,2949,3294.0
,,,60–64,2333,2882.0,2069,2763.0
,,,65–69,1790,2134.0,1619,2044.0
,,,70–74,1166,1647.0,1247,1613.0
,,,75–79,660,1073.0,864,1196.0
,,,80–84,383,522.0,666,835.0
,,,85+,203,358.0,520,829.0
115,20703,Whitehorse - West,0–4,2602,2797.0,2526,2734.0
,,,5–9,2429,2563.0,2377,2491.0
,,,10–14,2268,2408.0,2381,2395.0
,,,15–19,2627,2635.0,2557,2888.0
,,,20–24,3411,3008.0,3183,2954.0
,,,25–29,3502,3267.0,3473,3227.0
,,,30–34,3343,3671.0,3406,3797.0
,,,35–39,3380,3360.0,3419,3498.0
,,,40–44,2897,3325.0,3055,3378.0
,,,45–49,2703,2720.0,2974,2999.0
,,,50–54,2311,2519.0,2508,2904.0
,,,55–59,1999,2142.0,2353,2408.0
,,,60–64,1981,1903.0,2247,2188.0
,,,65–69,1964,1847.0,2341,2154.0
,,,70–74,1695,1787.0,2251,2299.0
,,,75–79,1155,1481.0,1678,2100.0
,,,80–84,673,924.0,1325,1458.0
,,,85+,424,570.0,1101,1389.0
116,20801,Bayside,0–4,2541,2708.0,2408,2482.0
,,,5–9,2702,2893.0,2672,2787.0
,,,10–14,2647,2907.0,2625,2856.0
,,,15–19,2662,2671.0,2468,2678.0
,,,20–24,2488,2293.0,2439,2094.0
,,,25–29,2404,2129.0,2505,2263.0
,,,30–34,2711,2683.0,3059,3064.0
,,,35–39,3328,3230.0,3475,3589.0
,,,40–44,3238,3495.0,3496,3794.0
,,,45–49,3338,3247.0,3518,3526.0
,,,50–54,2710,3216.0,2785,3402.0
,,,55–59,2055,2558.0,2040,2585.0
,,,60–64,1609,1828.0,1745,1873.0
,,,65–69,1734,1462.0,2166,1707.0
,,,70–74,1807,1498.0,2515,2020.0
,,,75–79,1391,1500.0,2030,2148.0
,,,80–84,907,1023.0,1669,1647.0
,,,85+,505,679.0,1376,1727.0
117,20802,Glen Eira,0–4,3774,3937.0,3608,3680.0
,,,5–9,3515,3721.0,3346,3438.0
,,,10–14,3152,3604.0,3052,3493.0
,,,15–19,3447,3584.0,3376,3553.0
,,,20–24,4942,4414.0,4939,4304.0
,,,25–29,5245,4997.0,5517,5062.0
,,,30–34,5567,5375.0,5451,5791.0
,,,35–39,5227,5210.0,5189,5265.0
,,,40–44,4613,4855.0,4563,5056.0
,,,45–49,4264,4513.0,4142,4519.0
,,,50–54,2891,4141.0,2931,4194.0
,,,55–59,2490,2856.0,2668,2918.0
,,,60–64,2340,2323.0,2679,2628.0
,,,65–69,2710,2111.0,3239,2535.0
,,,70–74,2616,2278.0,3577,2891.0
,,,75–79,1962,2013.0,2857,3030.0
,,,80–84,1374,1345.0,2022,2173.0
,,,85+,746,975.0,1657,1946.0
118,20803,Kingston,0–4,3099,2980.0,2851,2989.0
,,,5–9,2961,3019.0,2782,2800.0
,,,10–14,2728,2830.0,2660,2821.0
,,,15–19,2916,2731.0,2666,2732.0
