No.,Code,Name,Model,Customised,Crude
149,21601,Campaspe,30918.94,,
150,21602,Moira,22770.536,,
151,21603,Shepparton,48330.600000000006,,
152,21701,Glenelg - Southern Grampians,32868.732,,
153,21702,Warrnambool - Otway Ranges,71786.52799999999,,
154,30101,Capalaba,55922.668000000005,,
155,30102,Cleveland - Stradbroke,44373.9,,
156,30103,Wynnum - Manly,42867.520000000004,,
157,30201,Bald Hills - Everton Park,26652.244,,
158,30202,Chermside,52639.588,,
159,30203,Nundah,25161.559999999998,,
160,30204,Sandgate,38915.616,,
161,30301,Carindale,34692.084,,
162,30302,Holland Park - Yeronga,49437.168000000005,,
163,30303,Mt Gravatt,49555.324,,
164,30304,Nathan,28801.288,,
165,30305,Rocklea - Acacia Ridge,27936.264000000003,,
166,30306,Sunnybank,32320.244,,
167,30401,Centenary,24709.863999999998,,
168,30402,Kenmore - Brookfield - Moggill,31376.304,,
169,30403,Sherwood - Indooroopilly,36398.588,,
170,30404,The Gap - Enoggera,36119.548,,
171,30501,Brisbane Inner,31374.124000000003,,
172,30502,Brisbane Inner - East,26139.508,,
173,30503,Brisbane Inner - North,53947.151999999995,,
174,30504,Brisbane Inner - West,40541.896,,
175,30601,Cairns - North,28954.324,,
176,30602,Cairns - South,66326.936,,
177,30603,Innisfail - Cassowary Coast,30442.392,,
178,30604,Port Douglas - Daintree,8514.208,,
179,30605,Tablelands (East) - Kuranda,29883.440000000002,,
180,30701,Darling Downs (West) - Maranoa,35862.308,,
181,30702,Darling Downs - East,32776.736000000004,,
182,30703,Granite Belt,30020.344,,
183,30801,Central Highlands (Qld),22902.644,,
184,30802,Gladstone - Biloela,52305.176,,
185,30803,Rockhampton,83422.49599999998,,
186,30901,Broadbeach - Burleigh,45649.2,,
187,30902,Coolangatta,38669.712,,
188,30903,Gold Coast - North,42180.82000000001,,
189,30904,Gold Coast Hinterland,11502.552,,
190,30905,Mudgeeraba - Tallebudgera,17631.84,,
191,30906,Nerang,36695.94,,
192,30907,Ormeau - Oxenford,34515.504,,
193,30908,Robina,22541.636,,
194,30909,Southport,39137.104,,
195,30910,Surfers Paradise,25052.559999999998,,
196,31001,Forest Lake - Oxley,41439.183999999994,,
197,31002,Ipswich Hinterland,40637.38,,
198,31003,Ipswich Inner,70056.916,,
199,31004,Springfield - Redbank,31656.216,,
200,31101,Beaudesert,8689.044,,
201,31102,Beenleigh,26020.479999999996,,
202,31103,Browns Plains,51715.704,,
203,31104,Jimboomba,20304.52,,
204,31105,Loganlea - Carbrook,38136.048,,
205,31106,Springwood - Kingston,62831.96,,
206,31201,Bowen Basin - North,27802.847999999998,,
207,31202,Mackay,76056.712,,
208,31203,Whitsunday,12663.184,,
209,31301,Bribie - Beachmere,19465.656,,
210,31302,Caboolture,33813.98,,
211,31303,Caboolture Hinterland,7902.5,,
212,31304,Narangba - Burpengary,34886.976,,
213,31305,Redcliffe,42835.256,,
214,31401,Hills District,50545.916,,
215,31402,North Lakes,19130.372,,
216,31403,Strathpine,28728.912,,
217,31501,Far North,23546.18,,
218,31502,Outback - North,29521.124,,
219,31503,Outback - South,19399.82,,
220,31601,Buderim,25737.952,,
221,31602,Caloundra,41470.576,,
222,31603,Maroochy,35253.652,,
223,31604,Nambour - Pomona,39402.628,,
224,31605,Noosa,23840.916,,
