,,Age-Sex Level,Total Level
0,mean_2006,19.119088785081843,16.842828926235182
1,median_2006,14.598742474076715,15.13936775150286
2,percentile_90_2006,37.3566443322059,23.439385953402127
3,mean_2011,30.091895954612102,27.62802443358446
4,median_2011,22.30544074734734,21.478201266184193
5,percentile_90_2011,54.325947858328085,39.35209115407154
