Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,2092.67822265625,2104.215576171875,2116.477294921875,2128.89111328125,2141.38525390625,2153.95263671875,2166.593994140625,2179.30859375,2192.09765625,2204.9609375
10101,Goulburn - Yass,Females,5-9,2358.450927734375,2372.77001953125,2386.64794921875,2400.650390625,2414.740234375,2428.912109375,2443.166748046875,2457.504638671875,2471.92626953125,2486.431640625
10101,Goulburn - Yass,Females,10-14,2316.19091796875,2333.75927734375,2347.69970703125,2361.4853515625,2375.3447265625,2389.28564453125,2403.3076171875,2417.41162109375,2431.59814453125,2445.8671875
10101,Goulburn - Yass,Females,15-19,2039.417236328125,2050.443115234375,2062.548583984375,2074.659912109375,2086.837158203125,2099.084716796875,2111.403564453125,2123.794677734375,2136.2578125,2148.793701171875
10101,Goulburn - Yass,Females,20-24,1410.1043701171875,1415.5177001953125,1423.6783447265625,1432.0257568359375,1440.4300537109375,1448.8836669921875,1457.3868408203125,1465.9395751953125,1474.542236328125,1483.1949462890625
10101,Goulburn - Yass,Females,25-29,1823.57861328125,1837.682861328125,1848.5472412109375,1859.400146484375,1870.3133544921875,1881.290283203125,1892.3310546875,1903.4364013671875,1914.6064453125,1925.841552734375
10101,Goulburn - Yass,Females,30-34,1972.3590087890625,1981.6004638671875,1993.0411376953125,2004.721435546875,2016.4864501953125,2028.3211669921875,2040.2247314453125,2052.197998046875,2064.240966796875,2076.354248046875
10101,Goulburn - Yass,Females,35-39,2386.67626953125,2403.380126953125,2417.564453125,2431.757080078125,2446.029296875,2460.38525390625,2474.824462890625,2489.34814453125,2503.95654296875,2518.64990234375
10101,Goulburn - Yass,Females,40-44,2282.3671875,2291.5986328125,2304.88037109375,2318.40869140625,2332.016357421875,2345.703125,2359.4697265625,2373.31640625,2387.24365234375,2401.252685546875
10101,Goulburn - Yass,Females,45-49,2250.878173828125,2266.902587890625,2280.321533203125,2293.705810546875,2307.167236328125,2320.707763671875,2334.32763671875,2348.026611328125,2361.805419921875,2375.6650390625
10101,Goulburn - Yass,Females,50-54,2194.082275390625,2208.775390625,2221.797119140625,2234.839111328125,2247.9560546875,2261.1494140625,2274.41943359375,2287.76708984375,2301.1923828125,2314.6962890625
10101,Goulburn - Yass,Females,55-59,1890.4644775390625,1899.3070068359375,1910.522216796875,1921.7496337890625,1933.030029296875,1944.3751220703125,1955.7861328125,1967.2637939453125,1978.808349609375,1990.4202880859375
10101,Goulburn - Yass,Females,60-64,1526.624267578125,1531.4053955078125,1540.1563720703125,1549.1915283203125,1558.2843017578125,1567.4300537109375,1576.6287841796875,1585.8814697265625,1595.1878662109375,1604.5487060546875
10101,Goulburn - Yass,Females,65-69,1347.529052734375,1357.084228515625,1365.202880859375,1373.223388671875,1381.283447265625,1389.39013671875,1397.5440673828125,1405.74560546875,1413.994873046875,1422.2923583984375
10101,Goulburn - Yass,Females,70-74,1240.931640625,1251.735595703125,1259.26220703125,1266.656005859375,1274.0899658203125,1281.5675048828125,1289.088623046875,1296.65380859375,1304.262939453125,1311.91650390625
10101,Goulburn - Yass,Females,75-79,982.5205688476562,985.861572265625,991.6639404296875,997.4973754882812,1003.3531494140625,1009.2418823242188,1015.1649169921875,1021.1223754882812,1027.1146240234375,1033.1417236328125
10101,Goulburn - Yass,Females,80-84,698.0802612304688,702.306396484375,706.2933349609375,710.43603515625,714.6058349609375,718.7999877929688,723.018310546875,727.261474609375,731.5293579101562,735.822021484375
10101,Goulburn - Yass,Females,85+,672.0094604492188,673.2822265625,677.1557006835938,681.1248168945312,685.1224365234375,689.1433715820312,693.1878662109375,697.255859375,701.34765625,705.4632568359375
10101,Goulburn - Yass,Males,0-4,2241.73779296875,2249.492919921875,2258.282470703125,2267.2265625,2276.216064453125,2285.242431640625,2294.303955078125,2303.4013671875,2312.534423828125,2321.703369140625
10101,Goulburn - Yass,Males,5-9,2542.11181640625,2555.82861328125,2566.25,2576.4619140625,2586.6826171875,2596.9404296875,2607.23828125,2617.57666015625,2627.95556640625,2638.375244140625
10101,Goulburn - Yass,Males,10-14,2432.552734375,2443.50927734375,2453.2333984375,2462.95947265625,2472.7265625,2482.531982421875,2492.3759765625,2502.2587890625,2512.1806640625,2522.141357421875
10101,Goulburn - Yass,Males,15-19,2136.50341796875,2145.136474609375,2153.713623046875,2162.268798828125,2170.845458984375,2179.453857421875,2188.09619140625,2196.7724609375,2205.48291015625,2214.2275390625
10101,Goulburn - Yass,Males,20-24,1692.1920166015625,1692.982666015625,1699.03759765625,1705.703857421875,1712.4599609375,1719.249755859375,1726.067138671875,1732.911376953125,1739.782470703125,1746.6806640625
10101,Goulburn - Yass,Males,25-29,1801.416748046875,1814.224853515625,1821.9193115234375,1829.1993408203125,1836.4593505859375,1843.7423095703125,1851.053466796875,1858.3934326171875,1865.761962890625,1873.15966796875
10101,Goulburn - Yass,Males,30-34,2032.7939453125,2036.4368896484375,2043.9993896484375,2052.03662109375,2060.1669921875,2068.335693359375,2076.537353515625,2084.771240234375,2093.037353515625,2101.336181640625
10101,Goulburn - Yass,Males,35-39,2471.883544921875,2484.762939453125,2494.933349609375,2504.86376953125,2514.80078125,2524.7734375,2534.78515625,2544.836181640625,2554.926513671875,2565.056884765625
10101,Goulburn - Yass,Males,40-44,2422.900146484375,2431.129150390625,2440.59765625,2450.26318359375,2459.978759765625,2469.733642578125,2479.527099609375,2489.35888671875,2499.2294921875,2509.138671875
