Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,2057.957763671875,2058.32421875,2058.9736328125,2060.176513671875,2061.51220703125,2062.76220703125,2063.84423828125,2064.741943359375,2065.466796875,2066.043212890625
10101,Goulburn - Yass,Females,5-9,2349.53125,2358.2587890625,2364.259033203125,2369.227294921875,2373.248291015625,2376.447998046875,2378.96435546875,2380.928466796875,2382.45361328125,2383.63330078125
10101,Goulburn - Yass,Females,10-14,2311.575927734375,2318.510009765625,2324.295166015625,2329.210205078125,2333.20361328125,2336.387939453125,2338.89599609375,2340.855224609375,2342.377685546875,2343.556396484375
10101,Goulburn - Yass,Females,15-19,2018.45068359375,2023.36181640625,2027.6114501953125,2031.2352294921875,2034.25244140625,2036.6981201171875,2038.6444091796875,2040.17626953125,2041.371826171875,2042.3004150390625
10101,Goulburn - Yass,Females,20-24,1389.12890625,1381.3743896484375,1379.6759033203125,1379.090087890625,1379.01318359375,1379.1583251953125,1379.381591796875,1379.614013671875,1379.82568359375,1380.006103515625
10101,Goulburn - Yass,Females,25-29,1813.9576416015625,1818.1361083984375,1821.35302734375,1824.1812744140625,1826.572021484375,1828.529296875,1830.0977783203125,1831.337646484375,1832.30810546875,1833.0638427734375
10101,Goulburn - Yass,Females,30-34,1952.839599609375,1950.0987548828125,1950.85888671875,1952.16455078125,1953.5396728515625,1954.7978515625,1955.8743896484375,1956.7607421875,1957.4735107421875,1958.038330078125
10101,Goulburn - Yass,Females,35-39,2373.580810546875,2385.741455078125,2393.271240234375,2399.300537109375,2404.0751953125,2407.81689453125,2410.731201171875,2412.989990234375,2414.734375,2416.07958984375
10101,Goulburn - Yass,Females,40-44,2274.196044921875,2287.9404296875,2297.483642578125,2304.8603515625,2310.574462890625,2314.986572265625,2318.387939453125,2321.005126953125,2323.016845703125,2324.56201171875
10101,Goulburn - Yass,Females,45-49,2233.704345703125,2243.604248046875,2250.85986328125,2256.75732421875,2261.40625,2265.0361328125,2267.85546875,2270.0361328125,2271.718994140625,2273.014892578125
10101,Goulburn - Yass,Females,50-54,2216.96142578125,2235.697265625,2250.8525390625,2262.106201171875,2270.522216796875,2276.858642578125,2281.652587890625,2285.29345703125,2288.06591796875,2290.18115234375
10101,Goulburn - Yass,Females,55-59,1899.1107177734375,1917.55615234375,1930.5152587890625,1940.0843505859375,1947.2362060546875,1952.618408203125,1956.6900634765625,1959.7821044921875,1962.1361083984375,1963.93212890625
10101,Goulburn - Yass,Females,60-64,1539.7960205078125,1550.5745849609375,1559.6103515625,1566.426513671875,1571.5775146484375,1575.48583984375,1578.4600830078125,1580.7283935546875,1582.461181640625,1583.78564453125
10101,Goulburn - Yass,Females,65-69,1355.520751953125,1361.91015625,1367.8902587890625,1372.5196533203125,1376.0694580078125,1378.790283203125,1380.8758544921875,1382.4747314453125,1383.700439453125,1384.640380859375
10101,Goulburn - Yass,Females,70-74,1279.5068359375,1290.146484375,1299.154541015625,1305.8072509765625,1310.7532958984375,1314.4613037109375,1317.258544921875,1319.3779296875,1320.9893798828125,1322.2174072265625
10101,Goulburn - Yass,Females,75-79,996.0390625,1006.3697509765625,1014.2359008789062,1019.9761352539062,1024.22705078125,1027.405517578125,1029.79833984375,1031.60888671875,1032.9840087890625,1034.031005859375
10101,Goulburn - Yass,Females,80-84,729.9119873046875,740.0856323242188,747.963134765625,753.6574096679688,757.8424682617188,760.953369140625,763.2850341796875,765.0433959960938,766.3756713867188,767.3884887695312
10101,Goulburn - Yass,Females,85+,686.3185424804688,697.412841796875,704.3948364257812,709.37255859375,713.0062255859375,715.6928100585938,717.6984252929688,719.2064208984375,720.346435546875,721.2117309570312
10101,Goulburn - Yass,Males,0-4,2196.459228515625,2188.6494140625,2185.170166015625,2184.43115234375,2185.04296875,2186.224609375,2187.56494140625,2188.8642578125,2190.03466796875,2191.04541015625
10101,Goulburn - Yass,Males,5-9,2528.584716796875,2538.711181640625,2545.457275390625,2551.82275390625,2557.60693359375,2562.63818359375,2566.897216796875,2570.440673828125,2573.355712890625,2575.73486328125
10101,Goulburn - Yass,Males,10-14,2446.119873046875,2453.26318359375,2463.5927734375,2472.949462890625,2480.91455078125,2487.556884765625,2493.028564453125,2497.5,2501.1337890625,2504.07568359375
10101,Goulburn - Yass,Males,15-19,2117.98876953125,2117.6904296875,2120.564453125,2124.241943359375,2127.95458984375,2131.3662109375,2134.34912109375,2136.882568359375,2138.994873046875,2140.735107421875
10101,Goulburn - Yass,Males,20-24,1664.912353515625,1652.0985107421875,1649.1236572265625,1648.6094970703125,1649.139892578125,1650.099609375,1651.17431640625,1652.210205078125,1653.1402587890625,1653.9423828125
10101,Goulburn - Yass,Males,25-29,1781.7691650390625,1776.6773681640625,1774.802734375,1774.7469482421875,1775.567626953125,1776.723876953125,1777.935302734375,1779.069091796875,1780.0706787109375,1780.9267578125
10101,Goulburn - Yass,Males,30-34,1992.7254638671875,1982.97119140625,1979.4921875,1978.682861328125,1979.125732421875,1980.10107421875,1981.2376708984375,1982.3505859375,1983.3577880859375,1984.231689453125
10101,Goulburn - Yass,Males,35-39,2464.158203125,2476.141357421875,2484.545166015625,2492.156005859375,2498.814697265625,2504.471435546875,2509.187744140625,2513.072998046875,2516.247802734375,2518.82763671875
10101,Goulburn - Yass,Males,40-44,2424.77685546875,2445.735107421875,2460.3681640625,2472.206298828125,2481.901611328125,2489.80078125,2496.206298828125,2501.384033203125,2505.56005859375,2508.92333984375
10101,Goulburn - Yass,Males,45-49,2288.35546875,2291.8984375,2294.804443359375,2298.41650390625,2302.098388671875,2305.49609375,2308.47509765625,2311.00830078125,2313.1220703125,2314.864990234375
10101,Goulburn - Yass,Males,50-54,2387.3994140625,2418.46728515625,2441.760009765625,2459.767578125,2473.8466796875,2484.930908203125,2493.702392578125,2500.6708984375,2506.22216796875,2510.6533203125
10101,Goulburn - Yass,Males,55-59,2013.0013427734375,2040.58740234375,2060.244140625,2075.302978515625,2087.053955078125,2096.297607421875,2103.608642578125,2109.414306640625,2114.037109375,2117.72705078125
10101,Goulburn - Yass,Males,60-64,1649.6572265625,1668.5728759765625,1686.373046875,1700.2857666015625,1711.1085205078125,1719.59033203125,1726.280517578125,1731.5819091796875,1735.798095703125,1739.1595458984375
10101,Goulburn - Yass,Males,65-69,1419.8974609375,1428.109130859375,1433.7562255859375,1438.66748046875,1442.842041015625,1446.3231201171875,1449.1904296875,1451.5330810546875,1453.4366455078125,1454.9776611328125
10101,Goulburn - Yass,Males,70-74,1277.4989013671875,1302.5316162109375,1322.7503662109375,1337.8524169921875,1349.2647705078125,1358.01513671875,1364.803466796875,1370.117431640625,1374.3052978515625,1377.62255859375
10101,Goulburn - Yass,Males,75-79,774.3684692382812,785.2102661132812,794.7763061523438,802.084228515625,807.65771484375,811.9580688476562,815.31005859375,817.943359375,820.0240478515625,821.6754760742188
10101,Goulburn - Yass,Males,80-84,459.8263854980469,477.3431091308594,491.3699645996094,501.6933898925781,509.3695068359375,515.1781616210938,519.638427734375,523.10302734375,525.8176879882812,527.9588623046875
10101,Goulburn - Yass,Males,85+,278.485595703125,293.5115966796875,303.2565612792969,310.17620849609375,315.2380065917969,319.0216979980469,321.8990478515625,324.1173095703125,325.84576416015625,327.20318603515625
10102,Queanbeyan,Females,0-4,1593.2581787109375,1612.66357421875,1642.074951171875,1673.2498779296875,1702.5111083984375,1728.747802734375,1751.875732421875,1772.11865234375,1789.8284912109375,1805.3096923828125
10102,Queanbeyan,Females,5-9,1795.5521240234375,1881.5460205078125,1959.6912841796875,2028.1634521484375,2087.822998046875,2139.794189453125,2185.204345703125,2224.9921875,2259.988037109375,2290.8369140625
10102,Queanbeyan,Females,10-14,1667.13623046875,1736.6630859375,1804.2052001953125,1864.8638916015625,1918.2222900390625,1964.910888671875,2005.791748046875,2041.71240234375,2073.293212890625,2101.194091796875
10102,Queanbeyan,Females,15-19,1422.8565673828125,1430.57373046875,1451.3193359375,1474.067138671875,1495.54296875,1514.8123779296875,1531.7744140625,1546.6641845703125,1559.7012939453125,1571.124755859375
10102,Queanbeyan,Females,20-24,1069.0858154296875,968.8220825195312,913.3604125976562,876.4618530273438,848.6878051757812,826.0261840820312,806.633544921875,789.707275390625,774.6951293945312,761.2734375
10102,Queanbeyan,Females,25-29,1580.853759765625,1598.896240234375,1622.477783203125,1648.042236328125,1672.26123046875,1694.024658203125,1713.186767578125,1729.8968505859375,1744.498046875,1757.2578125
10102,Queanbeyan,Females,30-34,1986.179931640625,2047.2593994140625,2111.3251953125,2171.2001953125,2224.82861328125,2272.086181640625,2313.50244140625,2349.85107421875,2381.75927734375,2409.831787109375
10102,Queanbeyan,Females,35-39,2122.241943359375,2227.894287109375,2320.566162109375,2401.878173828125,2472.802490234375,2534.631103515625,2588.632080078125,2635.943359375,2677.576416015625,2714.28955078125
10102,Queanbeyan,Females,40-44,1952.791259765625,2055.074462890625,2146.39990234375,2226.025146484375,2295.208984375,2355.404296875,2407.962646484375,2454.082763671875,2494.638916015625,2530.3740234375
10102,Queanbeyan,Females,45-49,1757.4468994140625,1839.7447509765625,1914.5325927734375,1980.286865234375,2037.607666015625,2087.542724609375,2131.116943359375,2169.194580078125,2202.668212890625,2232.175537109375
10102,Queanbeyan,Females,50-54,1737.9080810546875,1862.7078857421875,1967.846435546875,2056.613037109375,2132.64794921875,2198.447021484375,2255.79638671875,2306.113525390625,2350.4443359375,2389.59130859375
10102,Queanbeyan,Females,55-59,1247.522705078125,1331.2105712890625,1399.958251953125,1457.896484375,1507.44287109375,1550.2506103515625,1587.5303955078125,1620.125,1648.772216796875,1674.0931396484375
10102,Queanbeyan,Females,60-64,841.7625122070312,887.5070190429688,927.5005493164062,961.9683227539062,991.7335205078125,1017.565673828125,1040.06396484375,1059.6815185546875,1076.8892822265625,1092.10009765625
10102,Queanbeyan,Females,65-69,600.83447265625,603.1897583007812,607.9464111328125,613.7063598632812,619.3012084960938,624.3603515625,628.8336791992188,632.7134399414062,636.09912109375,639.0733642578125
10102,Queanbeyan,Females,70-74,601.602294921875,642.17822265625,674.2014770507812,700.2640380859375,722.1461181640625,740.8831787109375,757.1350708007812,771.2980346679688,783.7877197265625,794.88330078125
10102,Queanbeyan,Females,75-79,529.2037353515625,554.6849975585938,576.5050048828125,594.7711791992188,610.307373046875,623.6908569335938,635.3484497070312,645.5958251953125,654.560302734375,662.4197998046875
10102,Queanbeyan,Females,80-84,313.7978210449219,357.2832946777344,389.1472473144531,415.1162414550781,436.9981384277344,455.79248046875,472.09625244140625,486.3100280761719,498.8205871582031,509.85980224609375
10102,Queanbeyan,Females,85+,302.3028869628906,349.7533264160156,382.5020751953125,408.15216064453125,429.3232421875,447.3255310058594,462.8896789550781,476.54730224609375,488.5614318847656,499.2297058105469
10102,Queanbeyan,Males,0-4,1785.9273681640625,1824.038330078125,1861.6322021484375,1896.919189453125,1928.4991455078125,1956.177734375,1980.333740234375,2001.4163818359375,2019.8487548828125,2036.007080078125
10102,Queanbeyan,Males,5-9,1787.40087890625,1848.711181640625,1904.6595458984375,1953.9100341796875,1996.867431640625,2034.2186279296875,2066.758544921875,2095.17431640625,2120.06884765625,2141.94873046875
10102,Queanbeyan,Males,10-14,1847.810302734375,1929.9967041015625,2004.360595703125,2069.036865234375,2125.147705078125,2173.867919921875,2216.309326171875,2253.42822265625,2286.003173828125,2314.6796875
