,,Age-Sex Level,Total Level
0,mean_2006,17.25465091997505,15.897400382872474
1,median_2006,11.663493189091206,12.02007369763064
2,percentile_90_2006,35.39551391601563,26.967979953693867
3,mean_2011,31.005568165486345,29.90331372496554
4,median_2011,21.51555922473971,22.024349072977525
5,percentile_90_2011,72.9562867494261,55.43055195325249
