,,Age-Sex Level,Total Level
0,mean_2006,17.447377718869927,15.784406575874986
1,median_2006,12.278315284257879,12.912608375493754
2,percentile_90_2006,33.41780504024736,21.45260298825898
3,mean_2011,26.353915043482203,24.900985922782365
4,median_2011,18.548509865031537,18.962705530882573
5,percentile_90_2011,48.23405538813701,33.16898095529482
