,,Age-Sex Level,Total Level
0,mean_2006,15.55964341834347,13.84835621177655
1,median_2006,11.873965050179512,12.534920533966357
2,percentile_90_2006,31.782863380890415,19.793809813435587
3,mean_2011,23.188775789426316,21.448526610721526
4,median_2011,18.58836675015083,18.884962484435903
5,percentile_90_2011,46.15527175687473,31.669314767894676
