,,Age-Sex Level,Total Level
0,mean_2006,16.615430560037563,15.167143765591872
1,median_2006,12.819892856519585,13.666684289947575
2,percentile_90_2006,34.41376044599939,22.454277889701874
3,mean_2011,29.554139593454956,28.37768339968527
4,median_2011,22.929819673918132,22.67634952930941
5,percentile_90_2011,63.196898337329834,51.039780593158504
