Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,2030.6536865234375,1995.5765380859375,1962.7525634765625,1956.1702880859375,1994.5728759765625,1956.55810546875,1910.070068359375,1886.5089111328125,1860.90673828125,1835.376220703125
10101,Goulburn - Yass,Females,5-9,2334.5966796875,2331.896728515625,2325.353515625,2228.90478515625,2129.232666015625,2129.083740234375,2071.163818359375,2055.249267578125,2048.93798828125,2032.331298828125
10101,Goulburn - Yass,Females,10-14,2284.992431640625,2280.420166015625,2272.48681640625,2099.59814453125,1945.8917236328125,1881.79833984375,1872.6927490234375,1866.947509765625,1838.296630859375,1819.9619140625
10101,Goulburn - Yass,Females,15-19,2039.30712890625,2038.06591796875,2040.48046875,2025.762451171875,2070.689697265625,2022.251220703125,2005.9093017578125,2003.15869140625,1968.511474609375,1953.81103515625
10101,Goulburn - Yass,Females,20-24,1374.5205078125,1336.316650390625,1289.4095458984375,1088.4697265625,1142.4906005859375,1058.584716796875,1088.3145751953125,1061.317626953125,1057.2091064453125,1047.1724853515625
10101,Goulburn - Yass,Females,25-29,1805.46435546875,1796.7635498046875,1783.9334716796875,1705.847412109375,1836.523681640625,1822.9669189453125,1772.1397705078125,1747.871337890625,1723.4200439453125,1699.6859130859375
10101,Goulburn - Yass,Females,30-34,1917.902099609375,1877.6190185546875,1835.7056884765625,1815.3267822265625,1886.958740234375,1891.395263671875,1799.0791015625,1773.37548828125,1739.2430419921875,1710.4417724609375
10101,Goulburn - Yass,Females,35-39,2355.6669921875,2370.51318359375,2382.9765625,2327.4990234375,2265.647216796875,2277.120361328125,2215.69775390625,2205.799560546875,2188.416015625,2167.506103515625
10101,Goulburn - Yass,Females,40-44,2289.9599609375,2312.817626953125,2333.876708984375,2257.438720703125,2139.193115234375,2134.82568359375,2097.037109375,2101.66845703125,2095.285888671875,2086.458740234375
10101,Goulburn - Yass,Females,45-49,2233.05908203125,2247.29638671875,2260.869140625,2133.363525390625,1996.5179443359375,1966.2508544921875,1956.4178466796875,1959.328369140625,1952.0467529296875,1944.4158935546875
10101,Goulburn - Yass,Females,50-54,2275.866943359375,2345.779052734375,2419.930419921875,2356.58544921875,2392.57177734375,2328.46337890625,2371.36767578125,2395.952880859375,2377.35498046875,2376.609130859375
10101,Goulburn - Yass,Females,55-59,1964.64697265625,2034.5130615234375,2106.93408203125,1968.725341796875,2142.005126953125,2129.03857421875,2141.585693359375,2173.75732421875,2147.354248046875,2144.75048828125
10101,Goulburn - Yass,Females,60-64,1556.579345703125,1582.2611083984375,1607.4234619140625,1609.473876953125,1436.5328369140625,1458.4906005859375,1425.405517578125,1421.4434814453125,1422.124267578125,1418.5909423828125
