Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,2298.31884765625,2321.30078125,2335.567138671875,2346.5009765625,2356.820556640625,2367.05712890625,2377.312255859375,2387.60693359375,2397.94482421875,2408.3271484375
10101,Goulburn - Yass,Females,5-9,2613.443115234375,2634.326904296875,2646.343994140625,2657.951416015625,2669.497802734375,2681.064208984375,2692.674072265625,2704.333251953125,2716.042724609375,2727.802001953125
10101,Goulburn - Yass,Females,10-14,2439.938720703125,2444.153564453125,2454.556396484375,2465.10009765625,2475.759033203125,2486.476318359375,2497.241943359375,2508.054443359375,2518.91357421875,2529.819580078125
10101,Goulburn - Yass,Females,15-19,2143.591064453125,2173.764892578125,2186.573974609375,2196.672119140625,2206.308349609375,2215.88623046875,2225.485595703125,2235.122802734375,2244.80029296875,2254.519287109375
10101,Goulburn - Yass,Females,20-24,1720.370361328125,1745.39990234375,1757.0911865234375,1765.562255859375,1773.37939453125,1781.091552734375,1788.8101806640625,1796.5565185546875,1804.33544921875,1812.147705078125
10101,Goulburn - Yass,Females,25-29,1902.1568603515625,1932.2698974609375,1944.2386474609375,1953.3751220703125,1961.972412109375,1970.4951171875,1979.03271484375,1987.6025390625,1996.208740234375,2004.8515625
10101,Goulburn - Yass,Females,30-34,2126.089599609375,2140.1953125,2149.533935546875,2158.90625,2168.265625,2177.65625,2187.0859375,2196.5556640625,2206.06640625,2215.617919921875
10101,Goulburn - Yass,Females,35-39,2516.949951171875,2527.156982421875,2537.0322265625,2547.78955078125,2558.781982421875,2569.853271484375,2580.979248046875,2592.154296875,2603.377685546875,2614.649169921875
10101,Goulburn - Yass,Females,40-44,2406.52978515625,2407.0087890625,2416.79296875,2427.08349609375,2437.5556640625,2448.103271484375,2458.702392578125,2469.34765625,2480.039306640625,2490.777099609375
10101,Goulburn - Yass,Females,45-49,2371.979248046875,2374.62060546875,2383.413330078125,2393.531005859375,2403.848876953125,2414.248291015625,2424.699951171875,2435.197998046875,2445.741455078125,2456.330810546875
10101,Goulburn - Yass,Females,50-54,2278.131103515625,2268.51806640625,2274.79345703125,2283.99658203125,2293.76123046875,2303.66845703125,2313.638671875,2323.6552734375,2333.7158203125,2343.820068359375
10101,Goulburn - Yass,Females,55-59,1889.6556396484375,1885.6796875,1892.3514404296875,1900.2332763671875,1908.3944091796875,1916.6448974609375,1924.9410400390625,1933.2752685546875,1941.6458740234375,1950.0523681640625
10101,Goulburn - Yass,Females,60-64,1504.641357421875,1515.6024169921875,1522.82275390625,1529.463134765625,1536.0906982421875,1542.742919921875,1549.423095703125,1556.1319580078125,1562.8695068359375,1569.6363525390625
10101,Goulburn - Yass,Females,65-69,1426.485595703125,1431.7171630859375,1437.2159423828125,1443.3662109375,1449.60107421875,1455.8748779296875,1462.1781005859375,1468.509033203125,1474.8671875,1481.2528076171875
10101,Goulburn - Yass,Females,70-74,1128.9010009765625,1112.3343505859375,1114.1951904296875,1118.4210205078125,1123.1435546875,1127.9835205078125,1132.8629150390625,1137.7672119140625,1142.6932373046875,1147.6405029296875
10101,Goulburn - Yass,Females,75-79,685.705078125,688.6273193359375,689.9548950195312,692.6644897460938,695.6063232421875,698.6068725585938,701.629638671875,704.6671142578125,707.7180786132812,710.7822265625
10101,Goulburn - Yass,Females,80-84,350.38836669921875,351.8993835449219,353.9074401855469,355.5247802734375,357.0801086425781,358.62945556640625,360.1830139160156,361.74261474609375,363.3088684082031,364.8818359375
10101,Goulburn - Yass,Females,85+,226.1414031982422,221.73374938964844,221.70372009277344,222.48403930664062,223.41688537597656,224.37831115722656,225.3488006591797,226.32423400878906,227.30418395996094,228.28831481933594
10101,Goulburn - Yass,Males,0-4,2163.28564453125,2186.30810546875,2197.208984375,2206.95849609375,2216.561767578125,2226.1689453125,2235.81005859375,2245.4912109375,2255.21337890625,2264.97802734375
10101,Goulburn - Yass,Males,5-9,2422.7509765625,2437.964599609375,2448.597900390625,2459.16552734375,2469.806884765625,2480.499755859375,2491.239990234375,2502.02685546875,2512.859619140625,2523.739501953125
10101,Goulburn - Yass,Males,10-14,2376.40869140625,2381.33447265625,2392.92431640625,2403.579345703125,2414.04541015625,2424.509765625,2435.009765625,2445.553466796875,2456.14208984375,2466.7763671875
10101,Goulburn - Yass,Males,15-19,2050.271484375,2064.573974609375,2073.71435546875,2082.59716796875,2091.597412109375,2100.65087890625,2109.74609375,2118.88037109375,2128.0546875,2137.2685546875
10101,Goulburn - Yass,Males,20-24,1450.37353515625,1463.926025390625,1473.0531005859375,1480.01123046875,1486.529541015625,1492.987548828125,1499.456298828125,1505.949462890625,1512.4698486328125,1519.0184326171875
10101,Goulburn - Yass,Males,25-29,1888.89404296875,1903.390869140625,1912.722900390625,1921.192138671875,1929.5498046875,1937.912353515625,1946.304931640625,1954.7322998046875,1963.19580078125,1971.69580078125
10101,Goulburn - Yass,Males,30-34,2025.5106201171875,2045.9735107421875,2057.3330078125,2066.739013671875,2075.784912109375,2084.791748046875,2093.822265625,2102.888916015625,2111.994140625,2121.138427734375
10101,Goulburn - Yass,Males,35-39,2452.420166015625,2456.889892578125,2466.632568359375,2477.212646484375,2487.921630859375,2498.69091796875,2509.50927734375,2520.374755859375,2531.287353515625,2542.246826171875
10101,Goulburn - Yass,Males,40-44,2243.998779296875,2258.412353515625,2267.359130859375,2277.00439453125,2286.832763671875,2296.728759765625,2306.672119140625,2316.659423828125,2326.68994140625,2336.763671875
