Code,Area name,Sex,Age group,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
10101,Goulburn - Yass,Females,0-4,2223.608642578125,2265.360107421875,2303.838623046875,2345.242431640625,2384.272216796875,2415.459228515625,2380.36279296875,2395.73681640625,2144.796142578125,2163.435791015625
10101,Goulburn - Yass,Females,5-9,2414.286865234375,2440.806396484375,2460.363037109375,2480.522705078125,2494.5830078125,2510.8916015625,2500.205078125,2528.171630859375,1878.1759033203125,1937.559814453125
10101,Goulburn - Yass,Females,10-14,2279.837646484375,2300.466796875,2319.358642578125,2337.947265625,2357.134765625,2385.072998046875,2378.05908203125,2417.06640625,3031.06640625,3092.9365234375
10101,Goulburn - Yass,Females,15-19,2060.324462890625,2082.583984375,2113.3173828125,2145.55810546875,2178.780517578125,2208.75634765625,2244.749267578125,2298.467041015625,1975.8131103515625,2046.6619873046875
10101,Goulburn - Yass,Females,20-24,1374.7342529296875,1338.213623046875,1308.4315185546875,1295.103759765625,1278.6856689453125,1279.1231689453125,1303.9530029296875,1332.238037109375,511.5750427246094,542.354248046875
10101,Goulburn - Yass,Females,25-29,1792.3839111328125,1792.2589111328125,1801.5872802734375,1818.7490234375,1835.708984375,1850.01904296875,1825.562744140625,1837.253173828125,1706.8857421875,1734.447998046875
10101,Goulburn - Yass,Females,30-34,2029.7552490234375,2045.8447265625,2056.9208984375,2064.611328125,2068.232177734375,2079.73486328125,2079.99853515625,2106.866943359375,1971.537353515625,1991.0167236328125
10101,Goulburn - Yass,Females,35-39,2349.33056640625,2378.798095703125,2401.450439453125,2428.640869140625,2444.798583984375,2464.385498046875,2435.60791015625,2441.818603515625,1248.214111328125,1238.69140625
10101,Goulburn - Yass,Females,40-44,2281.94140625,2312.729248046875,2335.12841796875,2355.55078125,2376.136962890625,2396.115966796875,2402.6015625,2431.205322265625,2986.403076171875,3016.790283203125
10101,Goulburn - Yass,Females,45-49,2212.6708984375,2239.783935546875,2274.091064453125,2310.469482421875,2352.521484375,2398.218017578125,2439.473876953125,2506.026123046875,1719.7762451171875,1793.9891357421875
10101,Goulburn - Yass,Females,50-54,2162.3193359375,2222.792236328125,2258.9404296875,2284.26416015625,2299.651123046875,2323.893798828125,2304.94580078125,2318.816162109375,1796.9686279296875,1805.580078125
10101,Goulburn - Yass,Females,55-59,1922.962158203125,1990.8411865234375,2051.343017578125,2111.817626953125,2168.30224609375,2226.745361328125,2292.53515625,2337.236572265625,1668.88232421875,1713.550537109375
