"Index","Code","Area","Period-Cohort","F_ASDRs 2001-06","F_ASDRs 2006-11","M_ASDRs 2001-06","M_ASDRs 2006-11","F_ASOMRs 2001-06","F_ASOMRs 2006-11","M_ASOMRs 2001-06","M_ASOMRs 2006-11","F_inward 2001-06","F_inward 2006-11","M_inward 2001-06","M_inward 2006-11","Age-Cohort","ASFRs 2001-06","ASFRs 2006-11"
1,10101,"Goulburn - Yass","Birth - 0-4",0.00191173952852498,0.00157795060362072,0.00240817148394991,0.00195115058116468,0.119837115992518,0.119837115992518,0.120529914661437,0.120529914661437,560.025271431256,560.025271431256,615.149167037386,615.149167037386,NA,NA,NA
1,10101,"Goulburn - Yass","0-4 - 5-9",0.000143842403499296,0.000119515064524541,0.000221464698388491,0.000177580292157855,0.0936545807362665,0.0936545807362665,0.0933454070732204,0.0933454070732204,1078.59382330371,1078.59382330371,1152.99565389966,1152.99565389966,NA,NA,NA
1,10101,"Goulburn - Yass","5-9 - 10-14",8.37862006287202e-05,7.04322557881296e-05,0.000131479425574852,0.000112598703585133,0.0773386815591914,0.0773386815591914,0.0751876679405047,0.0751876679405047,774.407364538172,774.407364538172,822.661409656511,822.661409656511,NA,NA,NA
1,10101,"Goulburn - Yass","10-14 - 15-19",0.00016878794809056,0.000145815226507456,0.000320677552646044,0.000269986210045276,0.0910046862002277,0.0910046862002277,0.0807917821711528,0.0807917821711528,709.921555820702,709.921555820702,628.807551686829,628.807551686829,NA,NA,NA
1,10101,"Goulburn - Yass","15-19 - 20-24",0.000297947016895218,0.000260640972060773,0.000787555729046002,0.000656648105748834,0.180124051897198,0.180124051897198,0.150379817657509,0.150379817657509,1062.12809962466,1062.12809962466,959.636870477305,959.636870477305,"15–19",0.0156137195474469,0.0156137195474469
1,10101,"Goulburn - Yass","20-24 - 25-29",0.000337623895513069,0.000310033469667663,0.000877449245439579,0.000755032479250518,0.1858915205457,0.1858915205457,0.168917648762092,0.168917648762092,1589.394004458,1589.394004458,1548.86698622959,1548.86698622959,"20–24",0.0586511429758711,0.0586511429758711
1,10101,"Goulburn - Yass","25-29 - 30-34",0.000427834873325616,0.000410113894020115,0.000972290862302913,0.00086054188405888,0.159449336756761,0.159449336756761,0.159325706938188,0.159325706938188,1616.56321402474,1616.56321402474,1701.8025278422,1701.8025278422,"25–29",0.116903507259961,0.116903507259961
1,10101,"Goulburn - Yass","30-34 - 35-39",0.000569061427818913,0.000547520486602868,0.00115473250860176,0.00107555125723,0.119624848492253,0.119624848492253,0.127054026354078,0.127054026354078,1429.39886807281,1429.39886807281,1577.1041514446,1577.1041514446,"30–34",0.15029355387567,0.15029355387567
1,10101,"Goulburn - Yass","35-39 - 40-44",0.000804740162460601,0.000770404635859876,0.00149542192577888,0.00142066163571895,0.0900860378338765,0.0900860378338765,0.0977842399144744,0.0977842399144744,1035.22287864001,1035.22287864001,1181.88387236993,1181.88387236993,"35–39",0.0868877418824032,0.0868877418824032
1,10101,"Goulburn - Yass","40-44 - 45-49",0.00131098481202602,0.00125994751527894,0.00209712339318576,0.00197666214750718,0.0682290739739269,0.0682290739739269,0.0734522416218629,0.0734522416218629,766.512257197548,766.512257197548,842.737416432156,842.737416432156,"40–44",0.0186352350197917,0.0186352350197917
