No.,Code,Area name,Sex,Age group,2001,2006,2011
85,12702,Fairfield,Females,60–64,3391,3678.89988308094,4948.68379666556
85,12702,Fairfield,Females,65–69,2887,3182.47749266735,3516.6122105706
85,12702,Fairfield,Females,70–74,2477,2602.95328539177,2899.5522255674
85,12702,Fairfield,Females,75–79,1949,2170.22081244015,2278.942797824
85,12702,Fairfield,Females,80–84,1070,1691.50506156405,1893.04249166272
85,12702,Fairfield,Females,85,808,1088.71389052055,1595.61206603329
85,12702,Fairfield,Males,0–4,6442,5789.13723211248,5540.61874987317
85,12702,Fairfield,Males,5–9,7005,6490.39710702934,5894.89686114826
85,12702,Fairfield,Males,10–14,6746,6865.42830433796,6446.11088734012
85,12702,Fairfield,Males,15–19,7200,6897.24487273082,7003.03635672536
85,12702,Fairfield,Males,20–24,6579,6955.90386093055,6826.88584307216
85,12702,Fairfield,Males,25–29,6550,6167.61578893768,6418.73369423063
85,12702,Fairfield,Males,30–34,6540,6377.63204827403,6009.98665999387
85,12702,Fairfield,Males,35–39,7173,6768.20057799417,6613.94509009031
85,12702,Fairfield,Males,40–44,7095,6997.44268946852,6735.29087119901
85,12702,Fairfield,Males,45–49,6231,6767.08914253583,6707.30726145787
85,12702,Fairfield,Males,50–54,5754,5926.60274726106,6405.35947902229
85,12702,Fairfield,Males,55–59,4263,5439.79992775491,5597.79834104031
85,12702,Fairfield,Males,60–64,3454,4031.4779132245,5119.27516333553
85,12702,Fairfield,Males,65–69,2769,3193.64123377778,3767.99037049684
85,12702,Fairfield,Males,70–74,2289,2431.37953831292,2843.75853499399
85,12702,Fairfield,Males,75–79,1503,1856.73819585166,1995.87386596281
85,12702,Fairfield,Males,80–84,684,1165.93066216645,1457.67086376654
85,12702,Fairfield,Males,85,441,573.763218842845,884.686328967088
86,12703,Liverpool,Females,0–4,3751,3997.77723354604,4221.58759013046
86,12703,Liverpool,Females,5–9,3483,4094.23849149666,4246.4932216679
86,12703,Liverpool,Females,10–14,3054,3346.14968723373,3815.9998134456
86,12703,Liverpool,Females,15–19,2836,2933.64815463825,3196.36977360856
86,12703,Liverpool,Females,20–24,3398,3438.1089558648,3631.36114381793
86,12703,Liverpool,Females,25–29,4227,4233.11190912983,4480.20391905986
86,12703,Liverpool,Females,30–34,4095,5057.64247545776,5083.47082052358
86,12703,Liverpool,Females,35–39,3590,4546.84619354532,5259.25288928371
86,12703,Liverpool,Females,40–44,3286,3531.87165641862,4247.57755502857
86,12703,Liverpool,Females,45–49,2753,2846.89264084712,3061.65516824919
86,12703,Liverpool,Females,50–54,2688,2431.55556542409,2568.25058382453
86,12703,Liverpool,Females,55–59,1916,2461.04480184704,2309.588755578
86,12703,Liverpool,Females,60–64,1520,1871.01776971804,2418.95621341699
86,12703,Liverpool,Females,65–69,1228,1529.92972288571,1886.76283522007
86,12703,Liverpool,Females,70–74,1052,1225.93281860294,1519.39916422948
86,12703,Liverpool,Females,75–79,804,1016.99134524143,1174.65994071127
86,12703,Liverpool,Females,80–84,542,742.453228736998,931.771954007702
86,12703,Liverpool,Females,85,488,618.645084097883,814.43533002681
86,12703,Liverpool,Males,0–4,3983,4203.56917954087,4440.16719837315
86,12703,Liverpool,Males,5–9,3667,4299.82604625941,4435.48956136739
86,12703,Liverpool,Males,10–14,3256,3530.86518466356,4018.0784405055
86,12703,Liverpool,Males,15–19,3083,3112.82219579192,3368.44419702272
86,12703,Liverpool,Males,20–24,3545,3603.93300882026,3742.85063507483
86,12703,Liverpool,Males,25–29,4001,4241.13390373308,4473.11335834725
86,12703,Liverpool,Males,30–34,4185,4849.99564864518,5008.71483890124
86,12703,Liverpool,Males,35–39,4111,4585.3264076837,5077.21523088324
86,12703,Liverpool,Males,40–44,3363,3796.27757921644,4166.51129479008
86,12703,Liverpool,Males,45–49,2741,2856.52109305355,3187.13981757512
86,12703,Liverpool,Males,50–54,2693,2412.21830675566,2562.62983715372
86,12703,Liverpool,Males,55–59,2138,2483.84001808517,2313.09208377459
86,12703,Liverpool,Males,60–64,1562,2055.10335509808,2438.5255665462
86,12703,Liverpool,Males,65–69,1198,1525.12478708902,1999.23078221852
86,12703,Liverpool,Males,70–74,906,1133.6060662887,1447.09930264326
86,12703,Liverpool,Males,75–79,636,801.29547516743,999.600045123354
86,12703,Liverpool,Males,80–84,319,527.029115327236,669.697169568126
86,12703,Liverpool,Males,85,182,273.606282996473,429.704120560096
87,12801,Cronulla - Miranda - Caringbah,Females,0–4,2951,2680.94358628962,2558.52727699081
87,12801,Cronulla - Miranda - Caringbah,Females,5–9,3001,2980.94158972475,2722.20180534124
87,12801,Cronulla - Miranda - Caringbah,Females,10–14,3044,3075.64893919478,3039.20007532258
87,12801,Cronulla - Miranda - Caringbah,Females,15–19,2990,3286.17979957128,3317.35281463975
87,12801,Cronulla - Miranda - Caringbah,Females,20–24,3437,3547.49699024408,3733.85054829557
87,12801,Cronulla - Miranda - Caringbah,Females,25–29,4220,3735.50072763687,3850.60042001876
87,12801,Cronulla - Miranda - Caringbah,Females,30–34,3842,3799.31265771299,3478.57833475263
87,12801,Cronulla - Miranda - Caringbah,Females,35–39,3715,3827.11262236731,3779.77459565803
87,12801,Cronulla - Miranda - Caringbah,Females,40–44,3702,3810.70423624366,3888.97205716869
87,12801,Cronulla - Miranda - Caringbah,Females,45–49,3433,3758.59293642796,3847.82785177095
87,12801,Cronulla - Miranda - Caringbah,Females,50–54,3442,3482.55321116715,3783.53789063549
87,12801,Cronulla - Miranda - Caringbah,Females,55–59,2851,3415.79250794194,3474.25191487927
87,12801,Cronulla - Miranda - Caringbah,Females,60–64,2372,2736.84290829493,3313.06637255896
87,12801,Cronulla - Miranda - Caringbah,Females,65–69,2221,2268.09651006099,2634.27801521829
87,12801,Cronulla - Miranda - Caringbah,Females,70–74,2469,2087.06455099802,2180.60058201902
87,12801,Cronulla - Miranda - Caringbah,Females,75–79,2045,2234.61727753409,1942.32896847951
87,12801,Cronulla - Miranda - Caringbah,Females,80–84,1362,1766.57864168812,1942.89770673389
87,12801,Cronulla - Miranda - Caringbah,Females,85,1143,1433.32464386132,1833.17240985153
87,12801,Cronulla - Miranda - Caringbah,Males,0–4,3010,2809.33600683142,2681.64097525389
87,12801,Cronulla - Miranda - Caringbah,Males,5–9,3054,3062.66919477745,2848.49633236488
87,12801,Cronulla - Miranda - Caringbah,Males,10–14,2940,3104.1896387651,3086.59150866214
87,12801,Cronulla - Miranda - Caringbah,Males,15–19,3205,3240.72233172524,3374.25484849593
87,12801,Cronulla - Miranda - Caringbah,Males,20–24,3598,3669.24231970777,3709.74534946622
87,12801,Cronulla - Miranda - Caringbah,Males,25–29,4309,3785.57098026343,3874.15273295168
87,12801,Cronulla - Miranda - Caringbah,Males,30–34,3959,3915.50224653312,3575.61683449033
87,12801,Cronulla - Miranda - Caringbah,Males,35–39,3926,3945.37532114951,3884.37800268045
87,12801,Cronulla - Miranda - Caringbah,Males,40–44,3813,3953.55092711052,3958.30592546364
87,12801,Cronulla - Miranda - Caringbah,Males,45–49,3346,3785.92630695562,3890.61903654385
87,12801,Cronulla - Miranda - Caringbah,Males,50–54,3472,3376.48619172152,3754.51043484115
87,12801,Cronulla - Miranda - Caringbah,Males,55–59,2760,3375.18139816152,3317.19471924713
87,12801,Cronulla - Miranda - Caringbah,Males,60–64,2280,2636.01672384997,3229.56721021481
87,12801,Cronulla - Miranda - Caringbah,Males,65–69,2019,2124.81598416881,2486.53224280265
87,12801,Cronulla - Miranda - Caringbah,Males,70–74,1977,1803.07420675159,1953.6885926078
87,12801,Cronulla - Miranda - Caringbah,Males,75–79,1576,1667.64037784598,1567.83502133377
87,12801,Cronulla - Miranda - Caringbah,Males,80–84,857,1214.62056562449,1319.42009162929
87,12801,Cronulla - Miranda - Caringbah,Males,85,486,680.049967029485,963.069753735216
88,12802,Sutherland - Menai - Heathcote,Females,0–4,3622,3314.99611347284,3188.83584432716
88,12802,Sutherland - Menai - Heathcote,Females,5–9,3905,4166.60873982676,3850.49548585049
88,12802,Sutherland - Menai - Heathcote,Females,10–14,4302,4799.02753166253,4984.09881119053
88,12802,Sutherland - Menai - Heathcote,Females,15–19,4135,5075.17266811671,5488.10262067639
88,12802,Sutherland - Menai - Heathcote,Females,20–24,3443,4077.826030436,4619.25246663246
88,12802,Sutherland - Menai - Heathcote,Females,25–29,3752,3296.31307749833,3608.76280768945
88,12802,Sutherland - Menai - Heathcote,Females,30–34,4025,3691.9681593114,3399.5580017183
88,12802,Sutherland - Menai - Heathcote,Females,35–39,4410,4343.34537697218,4140.81390982729
88,12802,Sutherland - Menai - Heathcote,Females,40–44,4656,4827.82283676122,4799.64718137409
88,12802,Sutherland - Menai - Heathcote,Females,45–49,4329,5112.53259701231,5268.23245951415
88,12802,Sutherland - Menai - Heathcote,Females,50–54,4055,4475.80159219142,5163.63619239531
88,12802,Sutherland - Menai - Heathcote,Females,55–59,2857,3783.66106624159,4143.46226224705
88,12802,Sutherland - Menai - Heathcote,Females,60–64,1824,2282.98826784413,3072.09943623997
88,12802,Sutherland - Menai - Heathcote,Females,65–69,1435,1235.71263685045,1585.06808460855
88,12802,Sutherland - Menai - Heathcote,Females,70–74,1399,821.825633623128,756.968007777326
88,12802,Sutherland - Menai - Heathcote,Females,75–79,1146,736.547057366259,450.784768201949
88,12802,Sutherland - Menai - Heathcote,Females,80–84,776,598.746588388332,397.040991350955
88,12802,Sutherland - Menai - Heathcote,Females,85,712,603.753442378728,505.449621617817
88,12802,Sutherland - Menai - Heathcote,Males,0–4,3847,3504.78700784833,3372.69605611069
88,12802,Sutherland - Menai - Heathcote,Males,5–9,4149,4385.4399060859,4045.23797057449
88,12802,Sutherland - Menai - Heathcote,Males,10–14,4450,5018.33869558055,5180.29254515624
88,12802,Sutherland - Menai - Heathcote,Males,15–19,4338,5235.4944539156,5720.41061842958
88,12802,Sutherland - Menai - Heathcote,Males,20–24,3865,4302.50409460086,4868.9335668045
88,12802,Sutherland - Menai - Heathcote,Males,25–29,3823,3441.39185479294,3684.61167884712
88,12802,Sutherland - Menai - Heathcote,Males,30–34,3813,3682.77806345994,3422.34797216068
88,12802,Sutherland - Menai - Heathcote,Males,35–39,4154,4156.10039605806,4060.48275164611
88,12802,Sutherland - Menai - Heathcote,Males,40–44,4300,4558.65213682319,4564.79973287366
88,12802,Sutherland - Menai - Heathcote,Males,45–49,4221,4771.69633773125,4982.1947939579
88,12802,Sutherland - Menai - Heathcote,Males,50–54,4101,4338.96097400247,4830.21381102246
88,12802,Sutherland - Menai - Heathcote,Males,55–59,3116,3800.62305726948,4005.6049337629
88,12802,Sutherland - Menai - Heathcote,Males,60–64,1983,2457.64695721489,3062.61149806647
88,12802,Sutherland - Menai - Heathcote,Males,65–69,1327,1303.65387993444,1670.23024282047
88,12802,Sutherland - Menai - Heathcote,Males,70–74,1229,726.136295385863,764.342429067377
88,12802,Sutherland - Menai - Heathcote,Males,75–79,843,600.470213083617,377.192844126818
88,12802,Sutherland - Menai - Heathcote,Males,80–84,457,336.621658824444,257.740237699883
88,12802,Sutherland - Menai - Heathcote,Males,85,275,202.414736538585,163.342113110113
89,20101,Ballarat,Females,0–4,2791,2539.95093416243,2426.42235045495
89,20101,Ballarat,Females,5–9,2958,2899.062646812,2651.61600857677
89,20101,Ballarat,Females,10–14,3085,3089.88418109532,3023.60139639251
89,20101,Ballarat,Females,15–19,3454,3417.00972446044,3427.33934385652
89,20101,Ballarat,Females,20–24,3181,3228.0580820778,3237.69953325238
89,20101,Ballarat,Females,25–29,2857,2674.27585264643,2746.19476629872
89,20101,Ballarat,Females,30–34,2985,2922.15854483598,2748.60648948744
89,20101,Ballarat,Females,35–39,3033,3070.54637879819,3014.29399118065
89,20101,Ballarat,Females,40–44,3110,3125.47180102894,3151.98572220162
89,20101,Ballarat,Females,45–49,2857,3047.46674440531,3065.63667495906
89,20101,Ballarat,Females,50–54,2677,2773.52487782858,2957.48655127009
89,20101,Ballarat,Females,55–59,1959,2562.98340456648,2657.57287693463
89,20101,Ballarat,Females,60–64,1756,1939.35837746841,2513.69269321165
89,20101,Ballarat,Females,65–69,1583,1739.36354264874,1945.14806096744
89,20101,Ballarat,Females,70–74,1682,1567.85485223453,1733.78501135316
89,20101,Ballarat,Females,75–79,1507,1585.23658630758,1499.38908044644
89,20101,Ballarat,Females,80–84,1027,1315.42458631325,1396.68841848258
89,20101,Ballarat,Females,85,1002,1173.73351542416,1442.95983159165
89,20101,Ballarat,Males,0–4,2931,2680.42497322367,2561.49251259151
89,20101,Ballarat,Males,5–9,3112,3045.99823972648,2797.87597174202
89,20101,Ballarat,Males,10–14,3149,3235.96086068683,3161.09815224871
89,20101,Ballarat,Males,15–19,3381,3462.29089370633,3535.66621791053
89,20101,Ballarat,Males,20–24,3034,3075.19515344087,3136.98507220003
89,20101,Ballarat,Males,25–29,2798,2518.11280329708,2575.78200143778
89,20101,Ballarat,Males,30–34,2805,2754.4481424906,2544.96238213033
89,20101,Ballarat,Males,35–39,2909,2896.44305157089,2839.52347836453
89,20101,Ballarat,Males,40–44,2953,2962.56915126694,2947.45778339461
89,20101,Ballarat,Males,45–49,2725,2872.27046087327,2881.53712488238
89,20101,Ballarat,Males,50–54,2541,2606.59255512011,2751.50836701081
89,20101,Ballarat,Males,55–59,1921,2425.29548963723,2486.69095192214
89,20101,Ballarat,Males,60–64,1572,1865.54934791775,2341.44887096098
89,20101,Ballarat,Males,65–69,1432,1533.91072838345,1826.37149327701
89,20101,Ballarat,Males,70–74,1316,1322.80638482791,1450.65187334346
89,20101,Ballarat,Males,75–79,985,1128.54154558788,1153.5740545248
89,20101,Ballarat,Males,80–84,598,783.426271929705,911.538184587889
89,20101,Ballarat,Males,85,425,528.299657715395,682.504210211212
90,20102,Creswick - Daylesford - Ballan,Females,0–4,773,693.980776595484,651.008536533664
90,20102,Creswick - Daylesford - Ballan,Females,5–9,983,866.651723944974,785.462605649709
90,20102,Creswick - Daylesford - Ballan,Females,10–14,965,944.881880254046,856.662117150553
90,20102,Creswick - Daylesford - Ballan,Females,15–19,845,806.10021818991,794.885558089042
90,20102,Creswick - Daylesford - Ballan,Females,20–24,496,564.377683259452,554.17332980867
90,20102,Creswick - Daylesford - Ballan,Females,25–29,600,554.243866340573,586.140377016945
90,20102,Creswick - Daylesford - Ballan,Females,30–34,866,805.82799477019,753.192864833327
90,20102,Creswick - Daylesford - Ballan,Females,35–39,1119,1045.64901830213,998.604516745916
90,20102,Creswick - Daylesford - Ballan,Females,40–44,1053,1125.06255893869,1075.00620475574
90,20102,Creswick - Daylesford - Ballan,Females,45–49,1043,1086.84501557336,1137.41766538354
90,20102,Creswick - Daylesford - Ballan,Females,50–54,952,1075.67645530729,1122.08206242824
90,20102,Creswick - Daylesford - Ballan,Females,55–59,805,998.255001995187,1101.66499504221
90,20102,Creswick - Daylesford - Ballan,Females,60–64,589,793.165603146698,983.016738439717
90,20102,Creswick - Daylesford - Ballan,Females,65–69,524,559.309211759305,735.799285637348
90,20102,Creswick - Daylesford - Ballan,Females,70–74,456,454.210391022027,492.717399352485
90,20102,Creswick - Daylesford - Ballan,Females,75–79,343,370.663442372138,370.586702658947
90,20102,Creswick - Daylesford - Ballan,Females,80–84,247,273.067070237084,297.785007849748
90,20102,Creswick - Daylesford - Ballan,Females,85,243,263.836269225389,293.178909999417
90,20102,Creswick - Daylesford - Ballan,Males,0–4,866,746.079855365712,700.422402562333
90,20102,Creswick - Daylesford - Ballan,Males,5–9,992,936.171488151904,829.279282343063
90,20102,Creswick - Daylesford - Ballan,Males,10–14,1047,973.375622203272,923.916780347288
90,20102,Creswick - Daylesford - Ballan,Males,15–19,903,876.583705667159,831.045061302675
90,20102,Creswick - Daylesford - Ballan,Males,20–24,616,632.904901533013,624.32637685186
90,20102,Creswick - Daylesford - Ballan,Males,25–29,616,599.939642607034,612.375042711842
90,20102,Creswick - Daylesford - Ballan,Males,30–34,733,742.57027880208,706.452215367738
90,20102,Creswick - Daylesford - Ballan,Males,35–39,943,890.878823166554,880.708215907948
90,20102,Creswick - Daylesford - Ballan,Males,40–44,1061,1001.12440681264,962.500752778259
90,20102,Creswick - Daylesford - Ballan,Males,45–49,1049,1083.06848794484,1038.98428095623
90,20102,Creswick - Daylesford - Ballan,Males,50–54,1026,1080.0955208096,1117.76276273953
90,20102,Creswick - Daylesford - Ballan,Males,55–59,847,1054.4592973358,1098.71840876201
90,20102,Creswick - Daylesford - Ballan,Males,60–64,692,845.253588176223,1043.65431794495
90,20102,Creswick - Daylesford - Ballan,Males,65–69,548,624.062312014962,764.50614065241
90,20102,Creswick - Daylesford - Ballan,Males,70–74,451,454.910128069714,527.545038738902
90,20102,Creswick - Daylesford - Ballan,Males,75–79,335,349.953083607774,358.553878048681
90,20102,Creswick - Daylesford - Ballan,Males,80–84,172,229.682901840785,247.543254215595
90,20102,Creswick - Daylesford - Ballan,Males,85,119,133.760651193008,170.899612072042
91,20103,Maryborough - Pyrenees,Females,0–4,638,561.059584609418,518.454992722975
91,20103,Maryborough - Pyrenees,Females,5–9,791,700.692478641218,623.3242096356
91,20103,Maryborough - Pyrenees,Females,10–14,854,861.626541842696,783.270944867243
91,20103,Maryborough - Pyrenees,Females,15–19,725,719.04625353029,721.055383827939
91,20103,Maryborough - Pyrenees,Females,20–24,450,451.26370980254,449.601534653094
91,20103,Maryborough - Pyrenees,Females,25–29,529,459.097080939443,460.936041632779
91,20103,Maryborough - Pyrenees,Females,30–34,672,638.70434616809,578.049032862946
91,20103,Maryborough - Pyrenees,Females,35–39,792,759.949041277242,726.429501849845
91,20103,Maryborough - Pyrenees,Females,40–44,871,850.610158391362,822.050406544386
91,20103,Maryborough - Pyrenees,Females,45–49,877,911.719124340459,891.872973551482
91,20103,Maryborough - Pyrenees,Females,50–54,912,943.468301815748,977.218436815185
91,20103,Maryborough - Pyrenees,Females,55–59,795,991.983438606224,1017.87047163137
91,20103,Maryborough - Pyrenees,Females,60–64,736,840.658411019557,1035.66249798288
91,20103,Maryborough - Pyrenees,Females,65–69,536,693.932794221156,796.2754617748
91,20103,Maryborough - Pyrenees,Females,70–74,564,480.027777976335,609.099850729492
91,20103,Maryborough - Pyrenees,Females,75–79,458,455.512452080586,395.267219092834
91,20103,Maryborough - Pyrenees,Females,80–84,297,339.078847537771,342.203962853437
91,20103,Maryborough - Pyrenees,Females,85,246,274.545933775883,315.313565503319
91,20103,Maryborough - Pyrenees,Males,0–4,708,601.989965119271,556.68401529501
91,20103,Maryborough - Pyrenees,Males,5–9,841,763.9232535585,667.914306453546
91,20103,Maryborough - Pyrenees,Males,10–14,948,915.127126905829,844.181940465459
91,20103,Maryborough - Pyrenees,Males,15–19,822,792.815882295309,770.303931580413
91,20103,Maryborough - Pyrenees,Males,20–24,540,551.855864095185,539.600010556037
91,20103,Maryborough - Pyrenees,Males,25–29,597,552.838288094956,556.827853075524
91,20103,Maryborough - Pyrenees,Males,30–34,696,671.975690475729,620.512534289048
91,20103,Maryborough - Pyrenees,Males,35–39,757,748.935001578746,718.554895729628
91,20103,Maryborough - Pyrenees,Males,40–44,874,818.576934428859,802.128044501326
91,20103,Maryborough - Pyrenees,Males,45–49,903,916.05222277337,870.73258464181
91,20103,Maryborough - Pyrenees,Males,50–54,951,961.484729678869,977.720943764772
91,20103,Maryborough - Pyrenees,Males,55–59,830,1024.7299411824,1030.09583614326
91,20103,Maryborough - Pyrenees,Males,60–64,753,865.078832255724,1052.42362083116
91,20103,Maryborough - Pyrenees,Males,65–69,663,730.822845193125,843.871040900124
91,20103,Maryborough - Pyrenees,Males,70–74,569,564.272038165111,634.074306355307
91,20103,Maryborough - Pyrenees,Males,75–79,421,427.231569455669,430.606852480872
91,20103,Maryborough - Pyrenees,Males,80–84,192,265.541593614298,279.202007640766
91,20103,Maryborough - Pyrenees,Males,85,144,139.005464848287,173.232142539189
92,20201,Bendigo,Females,0–4,2458,2265.22300860675,2180.89053651913
92,20201,Bendigo,Females,5–9,2759,2629.17003922461,2431.8484483667
92,20201,Bendigo,Females,10–14,2730,2846.23723836281,2736.38746620871
92,20201,Bendigo,Females,15–19,3115,2991.84271976515,3088.73323715871
92,20201,Bendigo,Females,20–24,2800,2930.36023808729,2905.59854337416
92,20201,Bendigo,Females,25–29,2538,2401.81667867197,2506.74597376474
92,20201,Bendigo,Females,30–34,2552,2546.99213822117,2415.33892179676
92,20201,Bendigo,Females,35–39,2784,2748.21780250187,2734.46073047499
92,20201,Bendigo,Females,40–44,2846,2879.82182586561,2864.75221590427
92,20201,Bendigo,Females,45–49,2690,2843.05425420796,2879.1417221728
92,20201,Bendigo,Females,50–54,2400,2663.24647923473,2822.25323435175
92,20201,Bendigo,Females,55–59,1776,2388.57576970313,2618.93796874535
92,20201,Bendigo,Females,60–64,1630,1846.51678276782,2436.16934859967
92,20201,Bendigo,Females,65–69,1474,1684.78159589477,1920.70573500446
92,20201,Bendigo,Females,70–74,1610,1515.62730270687,1728.47342466799
92,20201,Bendigo,Females,75–79,1368,1529.94031869628,1460.92620543748
92,20201,Bendigo,Females,80–84,989,1227.43201791065,1375.18345459915
92,20201,Bendigo,Females,85,1014,1180.78413197382,1422.22856204761
92,20201,Bendigo,Males,0–4,2629,2399.31771256039,2310.9095510141
92,20201,Bendigo,Males,5–9,2749,2743.14287410496,2523.44459401214
92,20201,Bendigo,Males,10–14,2817,2872.2947627088,2849.74257544699
92,20201,Bendigo,Males,15–19,3008,3030.84017307284,3085.10658407836
92,20201,Bendigo,Males,20–24,2690,2789.77823250133,2826.41177909576
92,20201,Bendigo,Males,25–29,2470,2284.92170809322,2369.19416638215
92,20201,Bendigo,Males,30–34,2478,2451.86006071372,2301.66063427144
92,20201,Bendigo,Males,35–39,2497,2548.99708215519,2516.86420629305
92,20201,Bendigo,Males,40–44,2684,2609.93786668805,2642.77515286254
92,20201,Bendigo,Males,45–49,2557,2672.6397189625,2628.15624796256
92,20201,Bendigo,Males,50–54,2384,2523.43488947158,2648.7765274781
92,20201,Bendigo,Males,55–59,1753,2346.93661410191,2469.7525408116
92,20201,Bendigo,Males,60–64,1490,1791.94508014516,2347.65215761172
92,20201,Bendigo,Males,65–69,1375,1518.12443636657,1822.93614015136
92,20201,Bendigo,Males,70–74,1229,1305.28593338459,1466.94246494357
92,20201,Bendigo,Males,75–79,981,1074.51534328411,1152.15055246507
92,20201,Bendigo,Males,80–84,550,796.597111007235,890.400404773148
92,20201,Bendigo,Males,85,438,524.314187346966,700.924270751182
93,20202,Heathcote - Castlemaine - Kyneton,Females,0–4,1170,993.906438934604,917.550759460713
93,20202,Heathcote - Castlemaine - Kyneton,Females,5–9,1479,1348.87486008742,1188.0874745947
93,20202,Heathcote - Castlemaine - Kyneton,Females,10–14,1476,1509.07809052096,1401.32165662998
93,20202,Heathcote - Castlemaine - Kyneton,Females,15–19,1283,1279.35294240432,1300.19144176785
93,20202,Heathcote - Castlemaine - Kyneton,Females,20–24,733,780.994507037616,785.886285562181
93,20202,Heathcote - Castlemaine - Kyneton,Females,25–29,871,737.813934936808,762.511219430568
93,20202,Heathcote - Castlemaine - Kyneton,Females,30–34,1246,1133.87622889727,1030.10944927917
93,20202,Heathcote - Castlemaine - Kyneton,Females,35–39,1507,1426.81513563095,1347.2684611971
93,20202,Heathcote - Castlemaine - Kyneton,Females,40–44,1676,1664.78283730189,1605.780207122
93,20202,Heathcote - Castlemaine - Kyneton,Females,45–49,1598,1705.37344154198,1695.52386275704
93,20202,Heathcote - Castlemaine - Kyneton,Females,50–54,1593,1687.91414037467,1790.02023222532
93,20202,Heathcote - Castlemaine - Kyneton,Females,55–59,1178,1671.73395973643,1755.78363716068
93,20202,Heathcote - Castlemaine - Kyneton,Females,60–64,1003,1262.65305519914,1724.4838822808
93,20202,Heathcote - Castlemaine - Kyneton,Females,65–69,841,1028.63688148007,1271.28928296929
93,20202,Heathcote - Castlemaine - Kyneton,Females,70–74,753,790.904637379964,957.430537206183
93,20202,Heathcote - Castlemaine - Kyneton,Females,75–79,611,639.283800384913,670.169055445263
93,20202,Heathcote - Castlemaine - Kyneton,Females,80–84,511,491.254254920543,519.36459358781
93,20202,Heathcote - Castlemaine - Kyneton,Females,85,471,522.332687392102,548.470272460946
93,20202,Heathcote - Castlemaine - Kyneton,Males,0–4,1214,1047.65425963426,967.471300872351
93,20202,Heathcote - Castlemaine - Kyneton,Males,5–9,1596,1405.56639785848,1250.19553668511
93,20202,Heathcote - Castlemaine - Kyneton,Males,10–14,1581,1623.07101676629,1470.11014265025
93,20202,Heathcote - Castlemaine - Kyneton,Males,15–19,1352,1345.21823330539,1373.7445037955
93,20202,Heathcote - Castlemaine - Kyneton,Males,20–24,866,859.113684048086,860.859952810476
93,20202,Heathcote - Castlemaine - Kyneton,Males,25–29,881,809.956970608401,815.573276921003
93,20202,Heathcote - Castlemaine - Kyneton,Males,30–34,1155,1104.05197872473,1028.14756673341
93,20202,Heathcote - Castlemaine - Kyneton,Males,35–39,1343,1307.12591299285,1258.33679024095
93,20202,Heathcote - Castlemaine - Kyneton,Males,40–44,1644,1522.23656414988,1487.69502097924
93,20202,Heathcote - Castlemaine - Kyneton,Males,45–49,1635,1678.94966912083,1590.56282764925
93,20202,Heathcote - Castlemaine - Kyneton,Males,50–54,1521,1680.2925689247,1731.5311585414
93,20202,Heathcote - Castlemaine - Kyneton,Males,55–59,1302,1631.16128910048,1759.24211502828
93,20202,Heathcote - Castlemaine - Kyneton,Males,60–64,1036,1364.89536182022,1685.08513497651
93,20202,Heathcote - Castlemaine - Kyneton,Males,65–69,856,1052.73564999335,1353.33437434625
93,20202,Heathcote - Castlemaine - Kyneton,Males,70–74,762,809.353367082551,988.765125084312
93,20202,Heathcote - Castlemaine - Kyneton,Males,75–79,531,625.657735482929,669.507641991899
93,20202,Heathcote - Castlemaine - Kyneton,Males,80–84,331,370.289289894058,445.799234834933
93,20202,Heathcote - Castlemaine - Kyneton,Males,85,203,242.175112970108,285.609952244009
94,20203,Loddon - Elmore,Females,0–4,365,288.745474449218,248.469371986178
94,20203,Loddon - Elmore,Females,5–9,404,375.172382143063,307.33023805314
94,20203,Loddon - Elmore,Females,10–14,462,390.339011587566,359.582059313893
94,20203,Loddon - Elmore,Females,15–19,364,360.060339913162,313.837192119467
94,20203,Loddon - Elmore,Females,20–24,188,184.245398803563,179.736104571033
94,20203,Loddon - Elmore,Females,25–29,218,174.15023709394,168.496524613302
94,20203,Loddon - Elmore,Females,30–34,345,267.050762714825,228.942160978171
94,20203,Loddon - Elmore,Females,35–39,421,403.321919544066,342.725637211323
94,20203,Loddon - Elmore,Females,40–44,441,421.347749303406,399.594689086517
94,20203,Loddon - Elmore,Females,45–49,451,427.645013145778,406.570732555292
94,20203,Loddon - Elmore,Females,50–54,441,452.756727672785,433.740199042942
94,20203,Loddon - Elmore,Females,55–59,332,445.042585746664,450.608175283903
94,20203,Loddon - Elmore,Females,60–64,326,337.502663481333,437.615666396089
94,20203,Loddon - Elmore,Females,65–69,295,316.624249203235,332.023647231566
94,20203,Loddon - Elmore,Females,70–74,253,255.773814503755,276.260460756205
94,20203,Loddon - Elmore,Females,75–79,202,221.355349413165,222.451328476402
94,20203,Loddon - Elmore,Females,80–84,149,160.782632884618,176.849195186218
94,20203,Loddon - Elmore,Females,85,123,147.623499495972,168.877988146745
94,20203,Loddon - Elmore,Males,0–4,360,300.29207600253,258.320607409231
94,20203,Loddon - Elmore,Males,5–9,460,388.331063465722,328.891210942772
94,20203,Loddon - Elmore,Males,10–14,463,418.350991413944,360.182268839687
94,20203,Loddon - Elmore,Males,15–19,417,370.282401863977,338.477485297408
94,20203,Loddon - Elmore,Males,20–24,254,227.698248648026,208.464244878146
94,20203,Loddon - Elmore,Males,25–29,260,239.727436637805,223.87687359988
