No.,Code,Area name,Sex,Age group,2001,2006,2011
3,10103,Snowy Mountains,Females,45–49,633,665.029046809854,608.749439566798
3,10103,Snowy Mountains,Females,50–54,622,628.319067986731,659.992433393569
3,10103,Snowy Mountains,Females,55–59,547,633.997500942794,642.101522819236
3,10103,Snowy Mountains,Females,60–64,448,551.327244003557,645.627575281715
3,10103,Snowy Mountains,Females,65–69,341,447.112532419472,544.455040884762
3,10103,Snowy Mountains,Females,70–74,331,381.051793251694,477.886337430363
3,10103,Snowy Mountains,Females,75–79,261,366.605051528436,408.518039127235
3,10103,Snowy Mountains,Females,80–84,213,279.916129198214,369.112444622485
3,10103,Snowy Mountains,Females,85,164,243.636334103705,328.111066054901
3,10103,Snowy Mountains,Males,0–4,600,492.881273351604,443.620857229267
3,10103,Snowy Mountains,Males,5–9,699,612.722183190678,526.192763485526
3,10103,Snowy Mountains,Males,10–14,704,721.150007032764,650.258906092518
3,10103,Snowy Mountains,Males,15–19,681,695.369535668715,707.540102678026
3,10103,Snowy Mountains,Males,20–24,551,603.083755008865,611.843223411556
3,10103,Snowy Mountains,Males,25–29,607,544.262092156687,569.105279294631
3,10103,Snowy Mountains,Males,30–34,652,599.37059586894,550.591330499296
3,10103,Snowy Mountains,Males,35–39,728,649.091772724234,612.947874100025
3,10103,Snowy Mountains,Males,40–44,822,707.936216059387,657.874482658771
3,10103,Snowy Mountains,Males,45–49,722,771.783802250806,693.383198512598
3,10103,Snowy Mountains,Males,50–54,682,705.795898780408,750.47442392196
3,10103,Snowy Mountains,Males,55–59,599,689.549288944926,709.230681085435
3,10103,Snowy Mountains,Males,60–64,510,607.600339899437,704.14215797047
3,10103,Snowy Mountains,Males,65–69,425,502.382061413422,598.314470771792
3,10103,Snowy Mountains,Males,70–74,308,393.040235964612,467.041145605006
3,10103,Snowy Mountains,Males,75–79,244,297.27883591009,369.128980934
3,10103,Snowy Mountains,Males,80–84,140,227.535308978176,273.818839235567
3,10103,Snowy Mountains,Males,85,81,127.9671330565,197.61189451361
4,10104,South Coast,Females,0–4,1770,1660.08096408054,1671.29652771636
4,10104,South Coast,Females,5–9,2220,2236.73357596577,2117.40617992058
4,10104,South Coast,Females,10–14,2382,2497.42452151787,2510.88950590958
4,10104,South Coast,Females,15–19,1823,2126.77439983663,2223.54545880609
4,10104,South Coast,Females,20–24,1082,1297.1775459972,1441.99349043202
4,10104,South Coast,Females,25–29,1323,1347.49341328298,1481.17759388587
4,10104,South Coast,Females,30–34,1669,1776.86632881995,1757.80531259052
4,10104,South Coast,Females,35–39,2119,2133.59645639515,2205.84350062356
4,10104,South Coast,Females,40–44,2579,2531.83767326785,2572.40486006969
4,10104,South Coast,Females,45–49,2407,2716.25846903963,2712.02047670834
4,10104,South Coast,Females,50–54,2234,2706.38713649617,3011.72661355653
4,10104,South Coast,Females,55–59,2174,2653.41753829486,3080.52577543427
4,10104,South Coast,Females,60–64,2031,2402.18792900142,2937.78666575214
4,10104,South Coast,Females,65–69,1801,1951.66413763336,2323.68578966807
4,10104,South Coast,Females,70–74,1749,1497.61742933795,1660.62020309483
4,10104,South Coast,Females,75–79,1375,1301.74810727715,1140.33983903141
4,10104,South Coast,Females,80–84,886,1039.90177663616,1005.91506962536
4,10104,South Coast,Females,85,669,813.485931067739,982.538038638898
4,10104,South Coast,Males,0–4,1788,1732.76132973525,1745.2085426071
4,10104,South Coast,Males,5–9,2197,2240.76482353379,2159.31563496712
4,10104,South Coast,Males,10–14,2510,2506.71340120206,2537.23948607128
4,10104,South Coast,Males,15–19,2017,2272.5923937991,2294.20460135887
4,10104,South Coast,Males,20–24,1127,1426.54465262664,1565.18739220647
4,10104,South Coast,Males,25–29,1289,1360.52219575594,1531.09144443399
4,10104,South Coast,Males,30–34,1561,1675.33411411184,1678.44966633987
4,10104,South Coast,Males,35–39,1885,1925.96238869172,1991.19856635138
4,10104,South Coast,Males,40–44,2475,2307.94288691826,2354.99948123108
4,10104,South Coast,Males,45–49,2405,2653.76029104618,2566.0662829185
4,10104,South Coast,Males,50–54,2322,2702.4089209564,2955.03850561928
4,10104,South Coast,Males,55–59,2085,2667.75455230204,3004.2462177187
4,10104,South Coast,Males,60–64,2075,2313.41748824689,2908.87726165169
4,10104,South Coast,Males,65–69,1906,1966.77461705219,2250.55545010455
4,10104,South Coast,Males,70–74,1753,1510.26546115407,1631.11935215267
4,10104,South Coast,Males,75–79,1328,1221.90975454807,1094.22622941214
4,10104,South Coast,Males,80–84,712,850.379010640095,818.942646779511
4,10104,South Coast,Males,85,365,465.19914601366,586.330186162288
5,10201,Gosford,Females,0–4,5189,4706.15079903749,4637.8137715982
5,10201,Gosford,Females,5–9,5614,5564.037283817,5146.95837318289
5,10201,Gosford,Females,10–14,5662,5825.03519541209,5794.06398527764
5,10201,Gosford,Females,15–19,4983,5503.13925449871,5676.00433710735
5,10201,Gosford,Females,20–24,4066,4465.40827233426,4799.84477236799
5,10201,Gosford,Females,25–29,4593,4433.08840165416,4749.19402701939
5,10201,Gosford,Females,30–34,5264,5360.55821937656,5201.88233365141
5,10201,Gosford,Females,35–39,6163,6065.94730044261,6159.28085879839
5,10201,Gosford,Females,40–44,6312,6538.37572693284,6550.72190532564
5,10201,Gosford,Females,45–49,5667,6416.47736219583,6646.30506719526
5,10201,Gosford,Females,50–54,5252,5820.42397901447,6522.55808790602
5,10201,Gosford,Females,55–59,4186,5533.13651481599,6067.01273043323
5,10201,Gosford,Females,60–64,3630,4451.50485879363,5801.94577888477
5,10201,Gosford,Females,65–69,3510,3918.15947213068,4758.74856331365
5,10201,Gosford,Females,70–74,3923,3630.61367159446,4082.34507903997
5,10201,Gosford,Females,75–79,3705,3773.56930809411,3569.28356833476
5,10201,Gosford,Females,80–84,2774,3211.82528573239,3321.45333918526
5,10201,Gosford,Females,85,2061,2730.6802790213,3377.29040322305
5,10201,Gosford,Males,0–4,5212,4916.2825571016,4845.93562632729
5,10201,Gosford,Males,5–9,5931,5677.39084512622,5379.72247499531
5,10201,Gosford,Males,10–14,6025,6161.40047705371,5981.11329790669
5,10201,Gosford,Males,15–19,5429,5846.83064283575,6004.46226969729
5,10201,Gosford,Males,20–24,4172,4692.08314777819,4989.0721137708
5,10201,Gosford,Males,25–29,4499,4341.79057860763,4692.08239895914
5,10201,Gosford,Males,30–34,4941,5049.56879575006,4895.49700187653
5,10201,Gosford,Males,35–39,5692,5654.2507730026,5730.7720723735
5,10201,Gosford,Males,40–44,6020,6060.20913349931,6091.50049356163
5,10201,Gosford,Males,45–49,5503,6117.66705214746,6204.05903276179
5,10201,Gosford,Males,50–54,5103,5604.91746122318,6186.77324718416
5,10201,Gosford,Males,55–59,4227,5383.86371214319,5839.80561634548
5,10201,Gosford,Males,60–64,3358,4417.88005925518,5573.63239803368
5,10201,Gosford,Males,65–69,3095,3530.75858833017,4551.2514434916
5,10201,Gosford,Males,70–74,3220,3097.81888533816,3581.91729851146
5,10201,Gosford,Males,75–79,2838,2894.30379002651,2864.46403384476
5,10201,Gosford,Males,80–84,1784,2191.39990985777,2311.17640152178
5,10201,Gosford,Males,85,993,1369.92995790283,1784.00980357444
6,10202,Wyong,Females,0–4,4831,4524.1840291293,4536.4268664087
6,10202,Wyong,Females,5–9,5103,5232.36513604369,4960.60244441075
6,10202,Wyong,Females,10–14,4704,5258.70065704153,5378.44312776612
6,10202,Wyong,Females,15–19,4143,4583.03691686099,5033.03902553293
6,10202,Wyong,Females,20–24,3373,3803.22425275238,4122.94924274646
6,10202,Wyong,Females,25–29,4076,3934.34338279134,4291.32489418587
6,10202,Wyong,Females,30–34,4616,4766.37477358343,4667.93460463348
6,10202,Wyong,Females,35–39,4883,5061.26808164299,5213.82929271543
6,10202,Wyong,Females,40–44,4884,5185.96344150926,5390.96453921485
6,10202,Wyong,Females,45–49,4232,4996.654320026,5289.97947665681
6,10202,Wyong,Females,50–54,4009,4606.56144065034,5332.70453623239
6,10202,Wyong,Females,55–59,3529,4566.77474921819,5148.49227142365
6,10202,Wyong,Females,60–64,3320,4048.1101172983,5171.20904658939
6,10202,Wyong,Females,65–69,3421,3698.53105625918,4478.64045530678
6,10202,Wyong,Females,70–74,3393,3403.93670564916,3747.86958188514
6,10202,Wyong,Females,75–79,2831,3021.58125678263,3058.90449098116
6,10202,Wyong,Females,80–84,2021,2352.19843232642,2542.79493707843
6,10202,Wyong,Females,85,1508,1941.62416505412,2386.54290071189
6,10202,Wyong,Males,0–4,4804,4712.90090986916,4726.64488812154
6,10202,Wyong,Males,5–9,5274,5289.22518824073,5159.89336662707
